Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
0.05	Klebsiella michiganensis	RISB1052	Diptera	Bactrocera dorsalis	Klebsiella	Klebsiella michiganensis BD177	K. michiganensis BD177 has the strain-specific ability to provide three essential amino acids (phenylalanine, tryptophan and methionine) and two vitamins B (folate and riboflavin) to B. dorsalis	True	True	False	18.93
0.08	Serratia marcescens	RISB1291	Diptera	Aedes aegypti	Serratia	Serratia marcescens	facilitates arboviral infection through a secreted protein named SmEnhancin, which digests membrane-bound mucins on the mosquito gut epithelia, thereby enhancing viral dissemination.	True	True	False	18.72
0.04	Citrobacter sp. RHBSTW-00599	RISB1503	Diptera	Bactrocera dorsalis	Citrobacter	Citrobacter sp.	Pesticide-degrading bacteria were frequently detected from pesticide-resistant insects. Susceptible insects became resistant after inoculation of the pesticide-degrading symbiont	True	True	False	18.6
0.03	Citrobacter sp. 21OH12SH02A-Citro	RISB1503	Diptera	Bactrocera dorsalis	Citrobacter	Citrobacter sp.	Pesticide-degrading bacteria were frequently detected from pesticide-resistant insects. Susceptible insects became resistant after inoculation of the pesticide-degrading symbiont	True	True	False	18.59
0.1	Morganella morganii	RISB0772	Diptera	Delia antiqua	Morganella	Morganella morganii	showed significant volatile inhibition activity against fungal entomopathogen Fusarium moniliforme, Botryosphaeria dothidea and both Fusarium oxysporum respectively	True	True	False	18.380000000000003
0.1	Morganella morganii	RISB0008	Diptera	Phormia regina	Morganella	Morganella morganii	deterred oviposition by female stable flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	True	True	False	18.060000000000002
0.33	Stenotrophomonas maltophilia	RISB1227	Diptera	Delia antiqua	Stenotrophomonas	Stenotrophomonas maltophilia	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids	True	True	False	18.03
0.24	Enterobacter ludwigii	RISB1223	Diptera	Delia antiqua	Enterobacter	Enterobacter ludwigii	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids	True	True	False	17.94
0.18	Citrobacter freundii	RISB1221	Diptera	Delia antiqua	Citrobacter	Citrobacter freundii	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids	True	True	False	17.88
0.08	Serratia marcescens	RISB0009	Diptera	Phormia regina	Serratia	Serratia marcescens	prompted oviposition by flies; The flies' oviposition decisions appear to be guided by bacteria-derived semiochemicals as the bacteria	True	True	False	17.759999999999998
8.42	Escherichia coli	RISB1339	Lepidoptera	Manduca sexta	Escherichia	Escherichia coli	modulate immunity-related gene expression in the infected F0 larvae, and also in their offspring, triggered immune responses in the infected host associated with shifts in both DNA methylation and histone acetylation	True	False	False	17.74
0.02	Serratia plymuthica	RISB1225	Diptera	Delia antiqua	Serratia	Serratia plymuthica	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids	True	True	False	17.72
0.02	Pseudomonas protegens	RISB1224	Diptera	Delia antiqua	Pseudomonas	Pseudomonas protegens	six bacteria protect larvae from infection with the entomopathogen Beauveria bassiana through symbiotic bacterium-derived organic acids	True	True	False	17.72
0.33	Stenotrophomonas maltophilia	RISB1141	Diptera	Hermetia illucens	Arsenophonus	Stenotrophomonas maltophilia HI121	enhance the insect growth performance when reared on an unbalanced nutritionally poor diet	True	True	False	17.13
0.1	Morganella morganii	RISB0611	Diptera	Bactrocera dorsalis	Morganella	Morganella morganii	may hydrolysing nitrogenous waste and providing metabolizable nitrogen for B. dorsalis	True	True	False	16.82
0.33	Stenotrophomonas maltophilia	RISB1401	Diptera	Delia antiqua	Stenotrophomonas	Stenotrophomonas maltophilia	suppressed Beauveria bassiana conidia germination and hyphal growth	True	True	False	16.67
0.1	Pantoea dispersa	RISB1413	Diptera	Bactrocera dorsalis	Pantoea	Pantoea dispersa	causing female Bactrocera dorsalis laid more eggs but had shorter lifespan	True	True	False	16.58
0.02	Pseudomonas protegens	RISB1398	Diptera	Delia antiqua	Pseudomonas	Pseudomonas protegens	suppressed Beauveria bassiana conidia germination and hyphal growth	True	True	False	16.36
8.42	Escherichia coli	RISB0128	Coleoptera	Tribolium castaneum	Escherichia	Escherichia coli	may produce 4,8-dimethyldecanal (DMD) production that is strongly associated with attraction to females and host pheromone communication	True	False	False	16.14
0.03	Lactiplantibacillus plantarum	RISB0674	Diptera	Drosophila melanogaster	Lactiplantibacillus	Lactiplantibacillus plantarum	could effectively inhibit fungal spore germinations	True	True	False	16.05
0.06	Providencia rettgeri	RISB1001	Diptera	Anastrepha obliqua	Providencia	Providencia rettgeri	improve the sexual competitiveness of males	True	True	False	15.92
0.5	Bacillus cereus	RISB1872	Diptera	Aedes aegypti	Bacillus	Bacillus cereus	gut microbiome	True	True	False	15.780000000000001
0.05	Providencia sp. PROV175	RISB1574	Diptera	Bactrocera tau	Providencia	Providencia sp.	could attract male and female B. tau	True	True	False	15.77
0.01	Providencia sp. PROV024	RISB1574	Diptera	Bactrocera tau	Providencia	Providencia sp.	could attract male and female B. tau	True	True	False	15.73
0.5	Bacillus cereus	RISB1701	Diptera	Phlebotomus papatasi	Bacillus	Bacillus cereus	None	True	True	False	15.5
0.32	Asaia	RISB0854	Diptera	Anopheles stephensi	Asaia	Asaia sp. W12	Two complete operons encoding cytochrome bo3-type ubiquinol terminal oxidases (cyoABCD-1 and cyoABCD-2) were found in most Asaia genomes, possibly offering alternative terminal oxidases and allowing the flexible transition of respiratory pathways. Genes involved in the production of 2,3-butandiol and inositol have been found in Asaia sp. W12, possibly contributing to biofilm formation and stress tolerance.	False	True	False	15.32
0.02	Pseudomonas protegens	RISB1878	Diptera	Aedes aegypti	Pseudomonas	Pseudomonas protegens	gut microbiome	True	True	False	15.3
0.08	Buchnera aphidicola	RISB0051	Diptera	Episyrphus balteatus	Buchnera	Buchnera aphidicola	None	True	True	False	15.08
0.06	Acetobacter	RISB1865	Diptera	Drosophila melanogaster	Acetobacter	Acetobacter	The bacterial cells may thus be able to ameliorate the pH of the acidic region, by the release of weak bases.Additionally, the bacteria have a complex relationship with physiological processes which may affect ionic homeostasis in the gut, such as nutrition and immune function	False	True	False	15.059999999999999
0.05	Erwinia aphidicola	RISB1705	Diptera	Phlebotomus papatasi	Erwinia	Erwinia aphidicola	None	True	True	False	15.05
0.04	Pectobacterium carotovorum	RISB1772	Diptera	Muscidae	Pectobacterium	Pectobacterium carotovorum	None	True	True	False	15.04
0.03	Lactiplantibacillus plantarum	RISB0608	Diptera	Drosophila melanogaster	Lactiplantibacillus	Lactiplantibacillus plantarum	None	True	True	False	15.030000000000001
0.01	Wolbachia	RISB0766	Diptera	Aedes fluviatilis	Wolbachia	Wolbachia pipientis	The presence of Wolbachia pipientis improves energy performance in A. fluviatilis cells; it affects the regulation of key energy sources such as lipids, proteins, and carbohydrates, making the distribution of actin more peripheral and with extensions that come into contact with neighboring cells.	False	True	False	15.01
0.01	Wolbachia	RISB0779	Diptera	Drosophila melanogaster	Wolbachia	Wolbachia	Wolbachia infection affects differential gene expression in Drosophila testis.Genes involved in carbohydrate metabolism, lysosomal degradation, proteolysis, lipid metabolism, and immune response were upregulated in the presence of Wolbachia	False	True	False	14.809999999999999
0.01	Wolbachia	RISB1408	Diptera	Anastrepha fraterculus	Wolbachia	Wolbachia	Wolbachia is the only known reproductive symbiont present in these morphotypes. Wolbachia reduced the ability for embryonic development in crosses involving cured females and infected males within each morphotype (uni-directional CI).	False	True	False	14.690000000000001
0.32	Asaia	RISB0014	Diptera	Aedes aegypti	Asaia	Asaia	The bacterium Asaia is considered a highly promising candidate for arboviral control in Aedes mosquitoes.Asaia could play a role in inhibiting CHIKV within Ae. aegypti.	False	True	False	13.68
0.06	Acetobacter	RISB0961	Diptera	Drosophila melanogaster	Acetobacter	Acetobacter	The exist of Acetobacter had a balancing effect on food ingestion when carbohydrate levels were high in the warmer months, stabilizing fitness components of flies across the year.	False	True	False	13.64
0.14	Acinetobacter	RISB0768	Diptera	Delia antiqua	Acinetobacter	Acinetobacter guillouiae	showed significant volatile inhibition activity against fungal entomopathogen Fusarium moniliforme, Botryosphaeria dothidea and both Fusarium oxysporum respectively	False	True	False	13.42
0.32	Asaia	RISB2533	Diptera	Anopheles stephensi	Asaia	Asaia sp	Asaia sp. strain effectively lodged in the female gut and salivary glands, sites that are crucial for Plasmodium sp. development and transmission	False	True	False	13.22
0.14	Acinetobacter	RISB0421	Diptera	Anopheles sinensis	Acinetobacter	Acinetobacter	Acinetobacter species increase the resistance of An. gambiae to Plasmodium development partly by the induction of anti-Plasmodium factors in Imd pathway	False	True	False	13.18
0.03	Shewanella	RISB1924	Diptera	Anopheles gambiae	Shewanella	Shewanella	may be related with mediating adaptation to different ecological niches or in shaping specific adult behaviors including mating	False	True	False	12.57
0.01	Staphylococcus	RISB0427	Diptera	Anopheles sinensis	Staphylococcus	Staphylococcus	be identified in each part of the hyperendemic area of this study has a potential role to interact with malaria parasites.	False	True	False	12.45
0.06	Acetobacter	RISB0184	Diptera	Drosophila melanogaster	Acetobacter	Acetobacter	enhancing the brain levels of tyrosine decarboxylase 2 (Tdc2), which is an enzyme that synthesizes octopamine (OA)	False	True	False	12.34
0.12	Proteus	RISB2315	Diptera	Aedes aegypti	Proteus	Proteus sp.	upregulates AMP gene expression, resulting in suppression of DENV infection in the mosquito gut epithelium	False	True	False	12.24
4.35	Enterococcus faecalis	RISB0497	Coleoptera	Cryptolestes ferrugineus	Enterococcus	Enterococcus faecalis	bacteria can degrade malathion, pirimiphos-methyl, and deltamethrin and utilize these insecticides as the carbon source in vitro.	True	False	False	11.93
0.01	Photorhabdus	RISB0532	Diptera	Drosophila melanogaster	Photorhabdus	Photorhabdus luminescens	produces toxin complex (Tc) toxins as major virulence factors	False	True	False	11.23
0.04	Cedecea	RISB1570	Diptera	Bactrocera tau	Cedecea	Cedecea lapagei	could attract male and female B. tau	False	True	False	10.76
0.03	Raoultella	RISB1575	Diptera	Bactrocera tau	Raoultella	Raoultella sp.	could attract male and female B. tau	False	True	False	10.75
0.14	Acinetobacter	RISB2083	Diptera	Aedes aegypti	Acinetobacter	Acinetobacter sp. KCNone61-AaNBF	axenic larvae cannot develop	False	True	False	10.7
0.06	Aeromonas	RISB2086	Diptera	Aedes aegypti	Aeromonas	Aeromonas sp. KCNone1None-AaL	axenic larvae cannot develop	False	True	False	10.62
0.5	Bacillus cereus	RISB2161	Blattodea	Termitidae	Bacillus	Bacillus cereus TAUC5	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	False	False	10.5
0.01	Staphylococcus	RISB1881	Diptera	Aedes aegypti	Staphylococcus	Staphylococcus hominis	gut microbiome	False	True	False	10.29
0.01	Peribacillus	RISB1877	Diptera	Aedes aegypti	Peribacillus	Bacillus simplex	gut microbiome	False	True	False	10.29
0.12	Proteus	RISB0054	Diptera	Episyrphus balteatus	Proteus	Cosenzaea myxofaciens	None	False	True	False	10.12
0.08	Buchnera aphidicola	RISB0236	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	Buchnera the nutritional endosymbiont of A. pisum is located inside of bacteriocytes and requires aspartate from the aphid host, because it cannot make it de novo. Further Buchnera needs aspartate for the biosynthesis of the essential amino acids lysine and threonine, which the aphid and Buchnera require for survival	True	False	False	10.08
0.01	Candidatus Hamiltonella defensa	RISB1049	Hemiptera	Aphis gossypii	Candidatus Hamiltonella	Hamiltonella defensa	secondary symbiont reduction led to reduction of the total life span and intrinsic rate of natural increase as well as appearance of the deformed dead offspring. H. defensa and Arsenophonus contributed to the fitness of A. gossypii by enhancing its performance, but not through parasitoid resistance.	True	False	False	10.01
0.08	Buchnera aphidicola	RISB2485	Hemiptera	Macrosiphum euphorbiae	Buchnera	Buchnera aphidicola	symbiont expression patterns differ between aphid clones with differing levels of virulence, and are influenced by the aphids' host plant. Potentially, symbionts may contribute to differential adaptation of aphids to host plant resistance	True	False	False	9.84
0.01	Candidatus Hamiltonella defensa	RISB1296	Hemiptera	Sitobion miscanthi	Candidatus Hamiltonella	Candidatus Hamiltonella defensa	Increase the reproductive capacity of wheat aphids, increase the number of offspring and reduce the age of first breeding, suppressed the salicylic acid (SA)- and jasmonic acid (JA)-related defense pathways and SA/JA accumulation	True	False	False	9.59
0.01	Candidatus Hamiltonella defensa	RISB0630	Hemiptera	Acyrthosiphon pisum	Candidatus Hamiltonella	Candidatus Hamiltonella defensa	In response to ladybirds, symbiont-infected pea aphids exhibited proportionately fewer evasive defences (dropping and walking away) than non-infected (cured) pea aphids, but more frequent aggressive kicking	True	False	False	9.13
0.01	Candidatus Schneideria nysicola	RISB0872	Hemiptera	Nysius sp.	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NB	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)	True	False	False	9.03
0.01	Candidatus Carsonella ruddii	RISB0394	Hemiptera	Cacopsylla pyricola	Candidatus Carsonella	Candidatus Carsonella ruddii	Carsonella produces most essential amino acids (EAAs) for C. pyricola, Psyllophila complements the genes missing in Carsonella for the tryptophan pathway and synthesizes some vitamins and carotenoids	True	False	False	8.99
0.01	Sodalis praecaptivus	RISB0122	Hemiptera	Nezara viridula	Sodalis	Sodalis praecaptivus	plays an important role in interactions between insects and plants and could therefore be considered a valuable target for the development of sustainable pest control strategies.	True	False	False	8.57
0.08	Candidatus Sodalis pierantonius	RISB2035	Coleoptera	Sitophilus oryzae	Sodalis	Sodalis pierantonius	endosymbiont dynamics parallels numerous transcriptional changes in weevil developing adults and affects several biological processes, including metabolism and development	True	False	False	8.5
0.02	Candidatus Portiera aleyrodidarum	RISB1193	Hemiptera	Bemisia tabaci	Candidatus Portiera	Portiera aleyrodidarum	synthesizing essential amino acid (e.g. tryptophan, leucine and L-Isoleucine), Bemisia tabaci provides vital nutritional support for growth, development and reproduction	True	False	False	8.4
0.01	Sodalis praecaptivus	RISB1718	Coleoptera	Sitophilus zeamais	Sodalis	Sodalis praecaptivus	we investigated the role of a quorum sensing（QS ） system in S. praecaptivus and found that it negatively regulates a potent insect-killing phenotype	True	False	False	7.97
0.02	Candidatus Portiera aleyrodidarum	RISB2289	Hemiptera	Bemisia tabaci	Candidatus Portiera	Candidatus Portiera aleyrodidarum	encoding the capability to synthetize, or participate in the synthesis of, several amino acids and carotenoids,	True	False	False	7.24
0.02	Candidatus Portiera aleyrodidarum	RISB1973	Hemiptera	Bemisia tabaci	Candidatus Portiera	Candidatus Portiera aleyrodidarum	a primary symbiont, which compensates for the deficient nutritional composition of its food sources	True	False	False	7.0
0.02	Leclercia adecarboxylata	RISB1757	Lepidoptera	Spodoptera frugiperda	Leclercia	Leclercia adecarboxylata	degradation of lambda-cyhalothrin, deltamethrin, chlorpyrifos ethyl, lufenuron and spinosyn	True	False	False	6.84
0.02	Erwinia sp. Ejp617	RISB0808	Coleoptera	Hypothenemus hampei	Erwinia	Erwinia sp.	might contribute to caffeine breakdown using the C-12 oxidation pathway	True	False	False	6.44
0.01	Erwinia sp. HDF1-3R	RISB0808	Coleoptera	Hypothenemus hampei	Erwinia	Erwinia sp.	might contribute to caffeine breakdown using the C-12 oxidation pathway	True	False	False	6.43
0.02	Leclercia adecarboxylata	RISB1758	Lepidoptera	Spodoptera frugiperda	Leclercia	Leclercia adecarboxylata	may influence the metabolization of pesticides in insects	True	False	False	6.16
0.33	Zymobacter palmae	RISB1324	Hymenoptera	Vespa mandarinia	Zymobacter	Zymobacter palmae	None	True	False	False	5.33
0.01	Arsenophonus nasoniae	RISB0428	Hymenoptera	Nasonia vitripennis	Arsenophonus	Arsenophonus nasoniae	male killing	True	False	False	5.25
0.05	Candidatus Palibaumannia cicadellinicola	RISB1594	Hemiptera	Graphocephala coccinea	Candidatus Palibaumannia	Candidatus Palibaumannia cicadellinicola	None	True	False	False	5.05
0.02	Burkholderia	RISB1172	Coleoptera	Lagria villosa	Burkholderia	Burkholderia gladioli	process a cryptic gene cluster that codes for the biosynthesis of a novel antifungal polyketide with a glutarimide pharmacophore, which led to the discovery of the gladiofungins as previously-overlooked components of the antimicrobial armory of the beetle symbiont	False	False	False	5.02
0.01	Staphylococcus	RISB0945	Coleoptera	Callosobruchus maculatus	Staphylococcus	Staphylococcus gallinarum	The strain encodes complete biosynthetic pathways for the production of B vitamins and amino acids, including tyrosine; A carbohydrate-active enzyme search revealed that the genome codes for a number of digestive enzymes, reflecting the nutritional ecology of C. maculatus	False	False	False	5.01
0.01	Candidatus Carsonella ruddii	RISB0748	Hemiptera	Diaphorina citri	Candidatus Carsonella	Candidatus Carsonella ruddii	None	True	False	False	5.01
0.01	Arsenophonus nasoniae	RISB0366	Hymenoptera	Pachycrepoideus vindemmiae	Arsenophonus	Arsenophonus nasoniae	None	True	False	False	5.01
0.01	Candidatus Annandia pinicola	RISB1661	Hemiptera	Adelgidae	Candidatus Annandia	Candidatus Annandia pinicola	None	True	False	False	5.01
0.01	Yersinia massiliensis	RISB0407	Hymenoptera	Anaphes nitens	Yersinia	Yersinia massiliensis	None	True	False	False	5.01
0.01	Francisella	RISB1907	Lepidoptera	Bombyx mori	Francisella	Francisella tularensis	After infection with F. tularensis, the induction of melanization and nodulation, which are immune responses to bacterial infection, were inhibited in silkworms. Pre-inoculation of silkworms with F. tularensis enhanced the expression of antimicrobial peptides and resistance to infection by pathogenic bacteria.	False	False	False	5.01
0.02	Burkholderia	RISB1729	Coleoptera	Lagria hirta	Burkholderia	Burkholderia gladioli	the symbionts inhibit the growth of antagonistic fungi on the eggs of the insect host, indicating that the Lagria-associated Burkholderia have evolved from plant pathogenic ancestors into insect defensive mutualists	False	False	False	4.32
0.02	Burkholderia	RISB0402	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia insecticola	symbiont colonization induces the development of the midgut crypts via finely regulating the enterocyte cell cycles, enabling it to stably and abundantly colonize the generated spacious crypts of the bean bug host	False	False	False	4.28
0.01	Photorhabdus	RISB2532	Lepidoptera	Manduca sexta	Photorhabdus	Photorhabdus luminescens subsp. laumondii strain TTNone1	produces a small-molecule antibiotic (E)-1,3-dihydroxy-2-(isopropyl)-5-(2-phenylethenyl)benzene (ST) that also acts as an inhibitor of phenoloxidase (PO) in the insect host Manduca sexta.	False	False	False	3.75
0.03	Raoultella	RISB2226	Coleoptera	Leptinotarsa decemlineata	Raoultella	Raoultella sp. L1	Colorado potato beetle (Leptinotarsa decemlineata) larvae exploit bacteria in their oral secretions to suppress antiherbivore defenses in tomato (Solanum lycopersicum)	False	False	False	3.37
0.12	Proteus	RISB0001	Coleoptera	Leptinotarsa decemlineata	Proteus	Proteus vulgaris Ld01	produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which protect the insect from predation	False	False	False	2.82
0.01	Photorhabdus	RISB2573	Lepidoptera	Manduca sexta	Photorhabdus	Photorhabdus luminescens	the bacteria are symbiotic with entomopathogenic nematodes but become pathogenic on release from the nematode into the insect blood system	False	False	False	2.77
0.01	Sphingomonas	RISB0420	Hemiptera	Aphis gossypii	Sphingomonas	Sphingomonas	Sphingomonas could mediate A. gossypii resistance to imidacloprid by hydroxylation and nitroreduction	False	False	False	2.03
0.05	Xenorhabdus	RISB1372	Lepidoptera	Spodoptera frugiperda	Xenorhabdus	Xenorhabdus rhabduscin	the products of the symbiont gene cluster inhibit Spodoptera frugiperda phenoloxidase activity	False	False	False	1.93
0.01	Sphingomonas	RISB1307	Hemiptera	Aphis gossypii	Sphingomonas	Sphingomonas	have been previously described in associations with phloem-feeding insects, in low abundances	False	False	False	1.87
0.52	Halomonas	RISB1808	Coleoptera	Monochamus galloprovincialis	Halomonas	Halomonas	Have the ability for degradation of cellulose, proteins and starch	False	False	False	1.84
0.01	Sphingomonas	RISB0134	Lepidoptera	Spodoptera frugiperda	Sphingomonas	Sphingomonas sp.	provide a protective effect to against chlorantraniliprole stress to S. frugiperda	False	False	False	1.65
0.28	Vibrio	RISB1810	Coleoptera	Monochamus galloprovincialis	Vibrio	Vibrio	Have the ability for degradation of cellulose, proteins and starch	False	False	False	1.6
0.05	Xenorhabdus	RISB2270	Hemiptera	Acyrthosiphon pisum	Xenorhabdus	Xenorhabdus bovienii	have the gene PIN1 encoding the protease inhibitor protein against aphids	False	False	False	1.51
0.02	Kosakonia	RISB0810	Coleoptera	Hypothenemus hampei	Kosakonia	Kosakonia sp.	might contribute to caffeine breakdown using the C-16 oxidation pathway	False	False	False	1.44
0.03	Raoultella	RISB1672	Lepidoptera	Spodoptera frugiperda	Raoultella	Raoultella	downregulated POX but upregulated trypsin PI in this plant species	False	False	False	1.35
0.01	Candidatus Riesia	RISB2452	Phthiraptera	Pediculus humanus humanus	Candidatus Riesia	Candidatus Riesia pediculicola	supplement body lice nutritionally deficient blood diet	False	False	False	1.11
0.08	Cronobacter	RISB0247	Coleoptera	Tenebrio molitor	Cronobacter	Cronobacter	may be indirectly involved in the digestion of PE	False	False	False	1.06
0.04	Dickeya	RISB1086	Hemiptera	Rhodnius prolixus	Dickeya	Dickeya	supply enzymatic biosynthesis of B-complex vitamins	False	False	False	1.06
0.01	Lysinibacillus	RISB1416	Blattodea	Psammotermes hypostoma	Lysinibacillus	Lysinibacillus macrolides	isolates showed significant cellulolytic activity	False	False	False	0.99
0.06	Aeromonas	RISB2456	Lepidoptera	Bombyx mori	Aeromonas	Aeromonas sp.	able to utilize the CMcellulose and xylan	False	False	False	0.88
0.52	Halomonas	RISB1374	Hemiptera	Bemisia tabaci	Halomonas	Halomonas	None	False	False	False	0.52
0.06	Aeromonas	RISB1145	Coleoptera	Tenebrio molitor	Aeromonas	Aeromonas sp. TM1	degrading plastics	False	False	False	0.42
0.02	Kosakonia	RISB1155	Coleoptera	Tenebrio molitor	Kosakonia	Kosakonia	degrading plastics	False	False	False	0.38
0.01	Lysinibacillus	RISB1066	Coleoptera	Oryctes rhinoceros	Lysinibacillus	Lysinibacillus fusiformis NBRC 15717	gut microbe	False	False	False	0.23
0.04	Cedecea	RISB0504	Lepidoptera	Plutella xylostella	Cedecea	Cedecea lapagei	None	False	False	False	0.04
0.03	Micromonospora	RISB2033	Hemiptera	Palomena viridissima	Micromonospora	Micromonospora palomenae sp. nov.	None	False	False	False	0.03
0.01	Lonsdalea	RISB1321	Hymenoptera	Vespa mandarinia	Lonsdalea	Lonsdalea	None	False	False	False	0.01
0.01	Legionella	RISB1687	Phthiraptera	Polyplax serrata	Legionella	Candidatus Legionella polyplacis	None	False	False	False	0.01
0.01	Paraburkholderia	RISB0125	Hemiptera	Physopelta gutta	Paraburkholderia	Paraburkholderia largidicola	None	False	False	False	0.01
