Percentage	Kraken_Name	DB_ID	Order	Insect_Species	Symbiont_Genus	Symbiont_Species	Function	Species_Match	Order_Match	Insect_Match	Total_Score
31.31	Buchnera aphidicola	RISB1629	Hemiptera	Lachninae	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB1859	Hemiptera	Acyrthosiphon pisum	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2128	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. USDA	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2129	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. USDA pLeu	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2130	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. USDA pTrp	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2131	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. USDA pTrp	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2132	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. W1None6	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2133	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. W1None6 pLeu	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2134	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. W1None6 pTrp	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2135	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. GNoneNone2	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2136	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. GNoneNone2 pLeu	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2137	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. GNoneNone2 pTrp	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2138	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. FNoneNone9	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2139	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. FNoneNone9 pLeu	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2140	Hemiptera	Myzus persicae	Buchnera	Buchnera aphidicola str. FNoneNone9 pTrp	None	True	False	False	36.31
31.31	Buchnera aphidicola	RISB2378	Hemiptera	Cinara cedri	Buchnera	Buchnera aphidicola	None	True	False	False	36.31
22.55	Escherichia	RISB1339	Lepidoptera	Manduca sexta	Escherichia	Escherichia coli	modulate immunity-related gene expression in the infected F0 larvae, and also in their offspring, triggered immune responses in the infected host associated with shifts in both DNA methylation and histone acetylation	False	False	False	26.87
22.55	Escherichia	RISB2120	Lepidoptera	Galleria mellonella	Escherichia	Escherichia coli	mediate trans-generational immune priming	False	False	False	23.37
22.55	Escherichia	RISB0412	Hemiptera	Melanaphis sacchari	Escherichia	Escherichia coli	None	False	False	False	22.55
22.55	Escherichia	RISB0635	Hemiptera	Diaphorina citri	Escherichia	Escherichia Shigella	None	False	False	False	22.55
22.55	Escherichia	RISB1769	Diptera	Calliphoridae	Escherichia	Escherichia coli	None	False	False	False	22.55
22.55	Escherichia	RISB1770	Diptera	Muscidae	Escherichia	Escherichia coli	None	False	False	False	22.55
0.94	Proteus vulgaris	RISB0001	Coleoptera	Leptinotarsa decemlineata	Proteus	Proteus vulgaris Ld01	produces toxic hydrogen cyanide (HCN) and a mandelonitrile-producing cyanoglucoside, amygdalin, which protect the insect from predation	True	True	False	18.64
0.18	Streptomyces sp. NBC_00162	RISB0777	Coleoptera	Copris tripartitus	Streptomyces	Streptomyces sp. AT67	contribute brood ball hygiene by inhibiting fungal parasites in the environment	True	True	False	16.759999999999998
0.67	Bacillus cereus	RISB1056	Coleoptera	Oryctes rhinoceros	Bacillus	Bacillus cereus ATCC 14579	provide symbiotic digestive functions to Oryctes	True	True	False	16.63
0.67	Bacillus cereus	RISB1778	Coleoptera	Lissorhoptrus oryzophilus	Bacillus	Bacillus cereus	might be promising paratransgenesis candidates	True	True	False	16.59
0.45	Klebsiella pneumoniae	RISB1153	Coleoptera	Tenebrio molitor	Klebsiella	Klebsiella pneumoniae ZM1	degrading plastics	True	True	False	15.809999999999999
0.45	Klebsiella pneumoniae	RISB1154	Coleoptera	Zophobas morio	Klebsiella	Klebsiella pneumoniae ZM1	degrading plastics	True	True	False	15.809999999999999
0.79	Wolbachia	RISB1452	Coleoptera	Octodonta nipae	Wolbachia	Wolbachia	Wolbachia harbored dominantly in a female than the male adult, while, no significant differences were observed between male and female body parts and tissues	False	True	False	13.93
0.79	Wolbachia	RISB2107	Coleoptera	Sitophilus zeamais	Wolbachia	Wolbachia	Wolbachia directly favored weevil fertility and exhibited only mild indirect effects, usually enhancing the SZPE effect	False	True	False	13.17
0.79	Wolbachia	RISB1282	Coleoptera	Ips sp.	Wolbachia	Wolbachia	inducing cytoplasmic incompatibility, resulting in reproductive distortions and hence	False	True	False	12.49
0.79	Wolbachia	RISB0971	Coleoptera	Oulema melanopus	Wolbachia	Wolbachia	may be associated with insect reproduction and maturation of their sexual organs	False	True	False	12.39
0.79	Wolbachia	RISB0533	Coleoptera	Acalolepta fraudatrix	Wolbachia	Wolbachia	infecting A. fraudatrix causes cytoplasmic incompatibility in the host insect	False	True	False	12.33
0.79	Wolbachia	RISB1955	Coleoptera	Sitona obsoletus	Wolbachia	Wolbachia	potential defensive properties against he parasitoid Microctonus aethiopoides	False	True	False	12.33
0.79	Wolbachia	RISB2307	Coleoptera	Lissorhoptrus oryzophilus	Wolbachia	Wolbachia	Wolbachia are necessary for oocyte production in Lissorhoptrus oryzophilus	False	True	False	12.27
0.79	Wolbachia	RISB2463	Coleoptera	Diabrotica virgifera virgifera	Wolbachia	Wolbachia	mediate the down-regulation of many maize defenses via their insect hosts	False	True	False	12.25
0.79	Wolbachia	RISB2465	Coleoptera	Diabrotica virgifera	Wolbachia	Wolbachia sp.	Silencing of maize (host plant) defence induction via insect host	False	True	False	12.09
0.79	Wolbachia	RISB2576	Coleoptera	Callosobruchus chinensis	Wolbachia	wBruAus	wBruAus is exceptionally resistant to tetracycline and rifampicin	False	True	False	12.09
0.79	Wolbachia	RISB2574	Coleoptera	Callosobruchus chinensis	Wolbachia	wBruCon	caused cytoplasmic incompatibility of the host insect	False	True	False	11.85
0.79	Wolbachia	RISB2575	Coleoptera	Callosobruchus chinensis	Wolbachia	wBruOri	caused cytoplasmic incompatibility of the host insect	False	True	False	11.85
0.79	Wolbachia	RISB2464	Coleoptera	Diabrotica virgifera virgifera	Wolbachia	Wolbachia	influence down-regulation of defense genes in maize	False	True	False	11.81
0.79	Wolbachia	RISB2608	Coleoptera	Sitophilus oryzae	Wolbachia	Wolbachia	it causes nucleocytoplasmic incompatibility	False	True	False	11.65
0.79	Wolbachia	RISB2553	Coleoptera	Coccotrypes dactyliperda	Wolbachia	Wolbachia	required for oogenesis in C. dactyliperda	False	True	False	11.61
0.28	Vibrio	RISB1810	Coleoptera	Monochamus galloprovincialis	Vibrio	Vibrio	Have the ability for degradation of cellulose, proteins and starch	False	True	False	11.6
0.79	Wolbachia	RISB2610	Coleoptera	Adalia bipunctata	Wolbachia	Wolbachia	kill male hosts during embryogenesis	False	True	False	11.51
0.79	Wolbachia	RISB2621	Coleoptera	Tribolium confusum	Wolbachia	Wolbachia pipientis	induces cytoplasmic incompatibility	False	True	False	11.49
0.79	Wolbachia	RISB2622	Coleoptera	Hypera postica	Wolbachia	Wolbachia pipientis	induces cytoplasmic incompatibility	False	True	False	11.49
0.79	Wolbachia	RISB2605	Coleoptera	Tribolium madens	Wolbachia	Wolbachia	induces embryonic male killing	False	True	False	11.39
0.79	Wolbachia	RISB0754	Coleoptera	Tribolium confusum	Wolbachia	Wolbachia wTcon	None	False	True	False	10.79
0.79	Wolbachia	RISB1213	Coleoptera	Polygraphus proximus	Wolbachia	Wolbachia	None	False	True	False	10.79
0.79	Wolbachia	RISB1395	Coleoptera	Octodonta nipae	Wolbachia	Wolbachia	None	False	True	False	10.79
0.79	Wolbachia	RISB1578	Coleoptera	Oreina cacaliae	Wolbachia	Wolbachia ST375	None	False	True	False	10.79
0.79	Wolbachia	RISB2350	Coleoptera	Curculio sikkimensis	Wolbachia	Wolbachia	None	False	True	False	10.79
0.79	Wolbachia	RISB2578	Coleoptera	Callosobruchus chinensis	Wolbachia	Wolbachia	None	False	True	False	10.79
0.67	Bacillus cereus	RISB2161	Blattodea	Termitidae	Bacillus	Bacillus cereus TAUC5	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	False	False	10.67
0.67	Bacillus cereus	RISB2162	Blattodea	Termitidae	Bacillus	Bacillus cereus F837/76	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	False	False	10.67
0.45	Klebsiella pneumoniae	RISB2185	Lepidoptera	Scirpophaga incertulas	Klebsiella	Klebsiella pneumoniae L-13	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	False	False	10.45
0.45	Klebsiella pneumoniae	RISB2186	Lepidoptera	Scirpophaga incertulas	Klebsiella	Klebsiella pneumoniae L-13	The ability of these arthropods to feed on wood, foliage and detritus is likely to involve catalysis by different types of cellulases/hemicellulases that are secreted by gut microbiota to digest the structural and recalcitrant lignocellulosic residues in their foods.	True	False	False	10.45
0.38	Candidatus Pantoea carbekii	RISB1046	Hemiptera	Halyomorpha halys	Pantoea	Pantoea carbekii	provides its host with essential nutrients, vitamins, cofactors and protection of the most vulnerable stages of early development (1st nymphal stages). Pantoea carbekii is highly stress tolerant, especially once secreted to cover the eggs, by its unique biofilm-formation properties, securing host offspring survival	True	False	False	10.38
0.23	Arsenophonus sp. aPb	RISB1047	Hemiptera	Aphis gossypii	Arsenophonus	Arsenophonus sp.	secondary symbiont reduction led to reduction of the total life span and intrinsic rate of natural increase as well as appearance of the deformed dead offspring. H. defensa and Arsenophonus contributed to the fitness of A. gossypii by enhancing its performance, but not through parasitoid resistance.	True	False	False	10.23
0.23	Arsenophonus sp. aPb	RISB1300	Hemiptera	Aphis gossypii	Arsenophonus	Arsenophonus sp.	Arsenophonus sp. can have different effects on its hosts, including obligate mutualism in blood-sucking insects, improving the performance of whiteflies, or through facultative mutualism by protecting psyllids against parasitoid attacks.	True	False	False	9.97
0.67	Bacillus cereus	RISB2489	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	allow the adaptation of this insect to plants rich in protease inhibitors, minimizing the potentially harmful consequences of protease inhibitors from some of this insect host plants, such as soybean	True	False	False	9.65
0.41	Candidatus Schneideria nysicola	RISB0872	Hemiptera	Nysius sp.	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NB	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)	True	False	False	9.43
0.41	Candidatus Schneideria nysicola	RISB0873	Hemiptera	Nysius sp.	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NR	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)	True	False	False	9.43
0.41	Candidatus Schneideria nysicola	RISB0874	Hemiptera	Nysius sp.	Candidatus Schneideria	Candidatus Schneideria nysicola isolate NT	synthesize four B vitamins(Pan, pantothenate;Fol, folate; Rib, riboflavin; Pyr, pyridoxine) and five Essential Amino Acids(Ile, isoleucine; Val, valine; Lys, lysine; Thr, threonine; Phe, phenylalanine)	True	False	False	9.43
0.18	Streptomyces sp. NBC_00162	RISB0943	Hymenoptera	Polybia plebeja	Streptomyces	Streptomyces sp. M54	this bacterium produces antimicrobial compounds that are active against Hirsutella citriformis, a natural fungal enemy of its host, and the human pathogens Staphylococcus aureus and Candida albicans	True	False	False	9.14
0.18	Streptomyces sp. NBC_00162	RISB2334	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. SA3_actG	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide	True	False	False	8.88
0.18	Streptomyces sp. NBC_00162	RISB2335	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. SA3_actF	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide	True	False	False	8.88
0.18	Streptomyces sp. NBC_00162	RISB2336	Hymenoptera	Sirex noctilio	Streptomyces	Streptomyces sp. ACTE	degrading woody substrates and that such degradation may assist in nutrient acquisition by S. noctilio, thus contributing to its ability to be established in forested habitats worldwide	True	False	False	8.88
0.62	Blattabacterium cuenoti	RISB0133	Blattodea	Panesthiinae	Blattabacterium	Blattabacterium cuenoti	enables hosts to subsist on a nutrient-poor diet; endosymbiont genome erosions are associated with repeated host transitions to an underground life	True	False	False	8.56
0.3	Wigglesworthia glossinidia	RISB0369	Diptera	Glossina morsitans	Wigglesworthia	Wigglesworthia glossinidia	symbiont-derived factors, likely B vitamins, are critical for the proper function of both lipid biosynthesis and lipolysis to maintain tsetse fly fecundity	True	False	False	8.4
0.23	Arsenophonus sp. aPb	RISB1048	Hemiptera	Aphis gossypii	Arsenophonus	Arsenophonus sp.	symbiont reduction led to reduction of the total life span and intrinsic rate of natural increase as well as appearance of the deformed dead offspring	True	False	False	8.23
2.78	Arsenophonus nasoniae	RISB0428	Hymenoptera	Nasonia vitripennis	Arsenophonus	Arsenophonus nasoniae	male killing	True	False	False	8.02
2.78	Arsenophonus nasoniae	RISB2483	Hymenoptera	Nasonia vitripennis	Arsenophonus	Arsenophonus nasoniae	male-killing	True	False	False	8.02
2.78	Arsenophonus nasoniae	RISB0366	Hymenoptera	Pachycrepoideus vindemmiae	Arsenophonus	Arsenophonus nasoniae	None	True	False	False	7.78
0.35	Candidatus Tachikawaea gelatinosa	RISB2112	Hemiptera	Urostylis westwoodii	Candidatus Tachikawaea	Candidatus Tachikawaea gelatinosa	the symbiont localizes to a specialized midgut region and supplies essential amino acids deficient in the host's diet	True	False	False	7.69
0.35	Candidatus Tachikawaea gelatinosa	RISB2113	Hemiptera	Urostylis annulicornis	Candidatus Tachikawaea	Candidatus Tachikawaea gelatinosa	the symbiont localizes to a specialized midgut region and supplies essential amino acids deficient in the host's diet	True	False	False	7.69
0.18	Streptomyces sp. NBC_00162	RISB1134	Hymenoptera	mud dauber wasp	Streptomyces	Streptomyces sp.	secondary metabolites derived from a Streptomyces sp. displayed significant inhibitory activity against hexokinase II	True	False	False	7.52
0.67	Bacillus cereus	RISB2237	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	mitigation of the negative effects of proteinase inhibitors produced by the host plant	True	False	False	7.39
0.3	Wigglesworthia glossinidia	RISB1786	Diptera	Glossina morsitans	Wigglesworthia	Wigglesworthia glossinidia	Synthesis of a large number of B vitamins, to supplement the host nutritional deficiencies of the diet	True	False	False	7.34
0.67	Bacillus cereus	RISB1822	Lepidoptera	Plutella xylostella	Bacillus	Bacillus cereus	degradation of acephate, used acephate as a source of carbon and energy for growth	True	False	False	7.31
0.67	Bacillus cereus	RISB2491	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	protein hydrolase activity for proteases, serine proteases, and cysteine proteases	True	False	False	7.31
0.67	Bacillus cereus	RISB1826	Lepidoptera	Plutella xylostella	Bacillus	Bacillus cereus	degradation of indoxacarb,  it could use indoxacarb for metabolism and growth	True	False	False	7.21
2.16	Candidatus Erwinia haradaeae	RISB1632	Hemiptera	Lachninae	Erwinia	Candidatus Erwinia haradaeae	None	True	False	False	7.16
0.23	Pantoea dispersa	RISB0182	Lepidoptera	Spodoptera frugiperda	Pantoea	Pantoea dispersa	detoxify benzoxazinoids (secondary metabolites produced by maize) and promote caterpillar growth	True	False	False	7.15
0.18	Streptomyces sp. NBC_00162	RISB2327	Hymenoptera	Acromyrmex octospinosus	Streptomyces	Streptomyces sp.	symbiont makes multiple antifungals, including Antimycins A1–A4, which support the fungus farming	True	False	False	7.12
0.22	Candidatus Ishikawella capsulata	RISB2368	Hemiptera	Megacopta punctatissima	Candidatus Ishikawella	Candidatus Ishikawella capsulata	Microbe compensates for nutritional deficiency of host diet by supplying essential amino acids	True	False	False	7.1
0.18	Streptomyces sp. NBC_00162	RISB1391	Hymenoptera	Tetragonisca angustula	Streptomyces	Streptomyces sp.	producing antibiotic, exhibit antimicrobial activity, mainly to Gram-positive bacteria and fungi	True	False	False	7.1
0.94	Proteus vulgaris	RISB2460	Lepidoptera	Bombyx mori	Proteus	Proteus vulgaris	degradation of cellulose, xylan, pectin and starch	True	False	False	6.94
3.8	Candidatus Blochmanniella	RISB2542	Hymenoptera	Camponotus	Candidatus Blochmanniella	Blochmannia floridanus	Blochmannia provide essential amino acids to its host,Camponotus floridanus, and that it may also play a role in nitrogen recycling via its functional urease	False	False	False	6.94
3.8	Candidatus Blochmanniella	RISB1827	Hymenoptera	Camponotus floridanus	Candidatus Blochmanniella	Blochmannia floridanus	a modulation of immune gene expression which may facilitate tolerance towards the endosymbionts and thus may contribute to their transovarial transmission	False	False	False	6.88
0.67	Bacillus cereus	RISB2239	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	Against plant-derived protease inhibitor; pest control	True	False	False	6.75
0.67	Bacillus cereus	RISB0019	Lepidoptera	Scirpophaga incertulas	Bacillus	Bacillus cereus strain NRYSBBC-1	degrade Chlorpyrifos and Chlorantraniliprole in vitro	True	False	False	6.73
0.23	Pantoea dispersa	RISB1413	Diptera	Bactrocera dorsalis	Pantoea	Pantoea dispersa	causing female Bactrocera dorsalis laid more eggs but had shorter lifespan	True	False	False	6.71
0.23	Arsenophonus sp. aPb	RISB0982	Hymenoptera	Vespula penalica	Arsenophonus	Arsenophonus sp.	Arsenophonus sp. has been negatively associated with honeybee hive health	True	False	False	6.69
0.67	Bacillus cereus	RISB2238	Lepidoptera	Anticarsia gemmatalis	Bacillus	Bacillus cereus	process serine- and cysteine-proteinase activities	True	False	False	6.67
0.67	Bacillus cereus	RISB1415	Blattodea	Psammotermes hypostoma	Bacillus	Bacillus cereus	isolates showed significant cellulolytic activity	True	False	False	6.65
3.8	Candidatus Blochmanniella	RISB2448	Hymenoptera	Camponotus floridanus	Candidatus Blochmanniella	Candidatus Blochmanniella floridana	nutritional contribution of the bacteria to host metabolism by production of essential amino acids and urease-mediated nitrogen recycling	False	False	False	6.54
0.45	Klebsiella pneumoniae	RISB2459	Lepidoptera	Bombyx mori	Klebsiella	Klebsiella pneumoniae	degradation of cellulose, xylan, pectin and starch	True	False	False	6.45
0.3	Wigglesworthia glossinidia	RISB2577	Diptera	Glossina brevipalpis	Wigglesworthia	Wigglesworthia glossinidia brevipalpis	provide its tsetse host with metabolites such as vitamins	True	False	False	6.44
0.57	Providencia rettgeri	RISB1001	Diptera	Anastrepha obliqua	Providencia	Providencia rettgeri	improve the sexual competitiveness of males	True	False	False	6.43
3.8	Candidatus Blochmanniella	RISB2570	Hymenoptera	Camponotus floridanus	Candidatus Blochmanniella	Blochmannia floridanus	Blochmannia is able to supply nitrogen and sulfur compounds to the host while it takes advantage of the host metabolic machinery	False	False	False	6.36
0.62	Blattabacterium cuenoti	RISB0518	Blattodea	Cryptocercus punctulatus	Blattabacterium	Blattabacterium cuenoti	collaborative arginine biosynthesis	True	False	False	6.32
