序号	分类目	昆虫名称	共生体分类属	共生体名称	功能
RISB0062	Coleoptera	Psilothrix viridicoerulea	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Pvir	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0063	Coleoptera	Listrus sp.	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp09	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0064	Coleoptera	Listrus sp.	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp06	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0065	Coleoptera	Listrus sp.	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp02	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0066	Coleoptera	Listrus sp.	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp01	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0067	Coleoptera	Dasytes virens	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dvir	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0068	Coleoptera	Dasytes seminudus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dsem	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0069	Coleoptera	Dasytes plumbeus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dplu	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0070	Coleoptera	Dasytes lineellus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dlin	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0071	Coleoptera	Dasytes alpigradus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Dalp	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0072	Coleoptera	Dasytes aeratus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Daer	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0073	None	soft-winged flower beetles	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.
RISB0074	Coleoptera	Chelymorpha alternans	Candidatus Stammera	Stammera	decoupled in adult beetles to match the nutritional and reproductive requirements of its host.
RISB0075	Lepidoptera	Bombyx mori	Mammaliicoccus	Mammaliicoccus sciuri	could produce a secreted chitinolytic lysozyme (termed Msp1) to damage fungal cell walls，completely inhibit the spore germination of fungal entomopathogens Metarhizium robertsii and Beauveria bassiana
RISB0076	Lepidoptera	Bombyx mori	None	silkworm metagenome	could produce a secreted chitinolytic lysozyme (termed Msp1) to damage fungal cell walls，completely inhibit the spore germination of fungal entomopathogens Metarhizium robertsii and Beauveria bassiana
RISB0077	Hymenoptera	Sirex noctilio	None	gut bacteria	None
RISB0078	Spirobolida	Epibolus pulchripes	None	gut bacteria	gut symbiont
RISB0079	Glomerida	Glomeris connexa	None	gut bacteria	gut symbiont
RISB0080	Hymenoptera	Sirex juvencus	Amylostereum	Amylostereum chailletii	None
RISB0081	Hymenoptera	Urocerus gigas	Amylostereum	Amylostereum chailletii	None
RISB0082	Hymenoptera	Tremex fuscicornis	Amylostereum	Amylostereum chailletii	None
RISB0083	Hymenoptera	Osmia cornifrons	Delftia	Delftia	be known to exhibit antibiotic activity, suggesting their potential protective role against pathogens
RISB0084	Hymenoptera	Osmia cornifrons	Microbacterium	Microbacterium	In O. cornifrons larvae, Microbacterium could contribute to the balance and resiliency of the gut microbiome under stress conditions. In addition, Rhodococcus was found in O. cornifrons larvae and is known for its detoxification capabilities
RISB0085	Hymenoptera	Osmia cornifrons	Pseudomonas	Pseudomonas	this bacterium has been shown to contribute to the synthesis of a defensive toxin in the beetle, Paederus fuscipes, and promotes arginine metabolism under in vitro conditions
RISB0086	Diptera	Penicillidia jenynsii	Candidatus Aschnera	Candidatus Aschnera chinzeii	Aschnera provides these vitamins and cofactors, such as biotin (vitamin B7), tetrahydrofolate (vitamin B9), riboflavin (vitamin B2), and pyridoxal 5'-phosphate (vitamin B6)
RISB0087	Hemiptera	Acyrthosiphon pisum	Spiroplasma	Spiroplasma	None
RISB0088	Lepidoptera	Bombyx mori	Pseudomonas	Pseudomonas fulva ZJU1	Pseudomonas fulva ZJU1 can degrade and utilize the mulberry-derived secondary metabolite, 1-deoxynojirimycin (DNJ) as the sole energy source, and after inoculation into nonspecialists, P. fulva ZJU1 increased host resistance to DNJ and significantly promoted growth
RISB0089	Hemiptera	Nilaparvata lugens	Burkholderia	Burkholderia cepacia BsNLG8	immune gene Defensin A contribute to the resistance against Nicotine-induced stress in host
RISB0090	Lepidoptera	Hyphantria cunea	Bacteroides	Bacteroides	enhance the compatibility of invasive pests to new hosts and enable more rapid adaptation to new habitats.
RISB0091	Lepidoptera	Hyphantria cunea	Blautia	Blautia	enhance the compatibility of invasive pests to new hosts and enable more rapid adaptation to new habitats.
RISB0092	Lepidoptera	Hyphantria cunea	Coprococcus	Coprococcus	enhance the compatibility of invasive pests to new hosts and enable more rapid adaptation to new habitats.
RISB0093	Blattodea	Blattella germanica	Blattabacterium	Blattabacterium cuenoti	obligate endosymbiont
RISB0094	Blattodea	Blattella germanica	None	gut bacteria	gut microbiota is not essential in this species for survival and development throughout its complete life cycle, but it could participate in complementation of host nutrition by helping with food digestion and nutrient absorption
RISB0095	Diptera	Bactrocera minax	Enterococcus	Enterococcus faecalis	egrade phenols in unripe citrus in B. minax larvae
RISB0096	Diptera	Bactrocera minax	Serratia	Serratia marcescens	egrade phenols in unripe citrus in B. minax larvae
RISB0097	Hymenoptera	Apis mellifera	None	gut bacteria	None
RISB0098	Coleoptera	Harmonia axyridis	None	gut bacteria	None
RISB0099	Coleoptera	Harmonia axyridis	Staphylococcus	Staphylococcus	None
RISB0100	Coleoptera	Harmonia axyridis	Staphylococcus	Staphylococcus	None
RISB0101	Coleoptera	Harmonia axyridis	None	gut bacteria	None
RISB0102	Hymenoptera	Apis mellifera	Gilliamella	Gilliamella apicola	Gilliamella apicola carries the gene for the desaturase FADS2, which is able to metabolize polyunsaturated fatty acids from pollen and synthesize endocannabinoid, a lipogenic neuroactive substance, thereby modulating reward learning and memory in honeybees.
RISB0103	Hymenoptera	Apis cerana	Bombella	Bombella apis	Bombella apis could restore larval-to-pupal transition disrupted by antibiotic treatment
RISB0104	Coleoptera	Rhynchophorus ferrugineus	Candidatus Nardonella	Nardonella	participate in tyrosine production
RISB0105	Hemiptera	Diuraphis noxia	Buchnera	Buchnera aphidicola	None
RISB0106	Diptera	Drosophila melanogaster	Wolbachia	Wolbachia wMelPop	The virulent wMelPop can improve the learning and memory capacity of Drosophila.
RISB0107	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia	stimulating systemic immunity and preventing subsequent infection of lethal pathogens
RISB0108	Hemiptera	Nilaparvata lugens	Arsenophonus	Candidatus Arsenophonus nilaparvatae	Transinfected planthopper lines acquired the insecticide sensitivity trait, with associated downregulation of the P450 xenobiotic detoxification system of the host
RISB0109	Lepidoptera	Tuta absoluta	Bacillus	Bacillus thuringiensis	Individual exposure of B. thuringiensis isolates to P. absoluta revealed high susceptibility of the pest and could potentially be used to develop effective, safe and affordable microbial pesticides for the management of P. absoluta.
RISB0110	Coleoptera	Notosacantha	Candidatus Stammera	Stammera	produce symbiont-derived pectinases and supply to the host’s alimentary tract for plant cell wall digestion
RISB0111	Diptera	Aedes aegypti	Wolbachia	Wolbachia strain wAlbB	Dengue reduction increased with Wolbachia frequency to a predicted 75.8% at 100%
RISB0112	Diptera	Bactrocera dorsalis	Enterococcus	Enterococcus casseliflavus	increase the resistance of B. dorsalis to β-cypermethrin by regulating cytochrome P450 (P450) enzymes and α-glutathione S-transferase (GST) activities
RISB0113	Diptera	Bactrocera dorsalis	Lactococcus	Lactococcus lactis	increase the resistance of B. dorsalis to β-cypermethrin by regulating cytochrome P450 (P450) enzymes and α-glutathione S-transferase (GST) activities
RISB0114	Coleoptera	Dorcus hopei hopei	None	gut bacteria	None
RISB0115	Hemiptera	Icerya aegyptiaca	Candidatus Walczuchella	Candidatus Walczuchella	possessed several genes in essential amino acid biosynthesis and seemed to perform roles in providing nutrients to the host
RISB0116	Coleoptera	Novius pumilus	Lactococcus	Lactococcus	were predicted to have genes related to hydrocarbon, fatty acids, and chitin degradation, which may assist their hosts in digesting the wax shell covering the scale insects
RISB0117	Coleoptera	Aethina tumida	None	gut bacteria	None
RISB0118	Hemiptera	Nezara viridula	Pantoea	Pantoea sp. Nvir	plays an important role in interactions between insects and plants and could therefore be considered a valuable target for the development of sustainable pest control strategies;transmitted bacteria impacted plant chemical defenses and were able to degrade toxic plant metabolites, aiding the shield bug in its nutrition
RISB0119	Hemiptera	Nezara viridula	Pantoea	Pantoea sp. Nvir	plays an important role in interactions between insects and plants and could therefore be considered a valuable target for the development of sustainable pest control strategies.
RISB0120	Hemiptera	Nezara viridula	Serratia	Serratia marcescens	plays an important role in interactions between insects and plants and could therefore be considered a valuable target for the development of sustainable pest control strategies;transmitted bacteria impacted plant chemical defenses and were able to degrade toxic plant metabolites, aiding the shield bug in its nutrition
RISB0121	Hemiptera	Nezara viridula	Serratia	Serratia marcescens	plays an important role in interactions between insects and plants and could therefore be considered a valuable target for the development of sustainable pest control strategies.
RISB0122	Hemiptera	Nezara viridula	Sodalis	Sodalis praecaptivus	plays an important role in interactions between insects and plants and could therefore be considered a valuable target for the development of sustainable pest control strategies.
RISB0123	Coleoptera	Dendroctonus valens	Leptographium	Leptographium procerum	None
RISB0124	Diptera	Prosimulium fungiforme	Harpella	Harpella melusinae	None
RISB0125	Hemiptera	Physopelta gutta	Paraburkholderia	Paraburkholderia largidicola	None
RISB0126	Lepidoptera	Zeuzera coffeae	None	gut bacteria	None
RISB0127	Coleoptera	Tribolium castaneum	Citrobacter	Citrobacter freundii	may produce 4,8-dimethyldecanal (DMD) production that is strongly associated with attraction to females and host pheromone communication
RISB0128	Coleoptera	Tribolium castaneum	Escherichia	Escherichia coli	may produce 4,8-dimethyldecanal (DMD) production that is strongly associated with attraction to females and host pheromone communication
RISB0129	Diptera	Ceratitis capitata	Enterobacter	Enterobacter	The intestinal microbiota structure was significantly influenced by the probiotic treatment while still maintaining a stable core dominant community of Enterobacteriacea. The  colony with these microbiome had the most improved potential functions in terms of gut microbes as well as the carbohydrates active enzymes most improved potential functions.
RISB0130	Diptera	Ceratitis capitata	Klebsiella	Klebsiella oxytoca	The intestinal microbiota structure was significantly influenced by the probiotic treatment while still maintaining a stable core dominant community of Enterobacteriacea. The  colony with these microbiome had the most improved potential functions in terms of gut microbes as well as the carbohydrates active enzymes most improved potential functions.
RISB0131	Diptera	Ceratitis capitata	Lactococcus	Lactococcus lactis	The intestinal microbiota structure was significantly influenced by the probiotic treatment while still maintaining a stable core dominant community of Enterobacteriacea. The  colony with these microbiome had the most improved potential functions in terms of gut microbes as well as the carbohydrates active enzymes most improved potential functions.
RISB0132	Hemiptera	Bemisia tabaci MED	Rickettsia	Rickettsia	Rickettsia infection resulted in increased whitefly fecundity and female bias by stimulating juvenile hormone synthesis. The production of more female progeny facilitates Rickettsia transmission
RISB0133	Blattodea	Panesthiinae	Blattabacterium	Blattabacterium cuenoti	enables hosts to subsist on a nutrient-poor diet; endosymbiont genome erosions are associated with repeated host transitions to an underground life
RISB0134	Lepidoptera	Spodoptera frugiperda	Sphingomonas	Sphingomonas sp.	provide a protective effect to against chlorantraniliprole stress to S. frugiperda
RISB0135	Coleoptera	Coccinella septempunctata	Bradyrhizobium	Bradyrhizobium	be commonly found in plant roots and they all have nitrogen fixation abilities
RISB0136	Coleoptera	Coccinella septempunctata	Burkholderia	Burkholderia	be commonly found in plant roots and they all have nitrogen fixation abilities,and may be able to trigger the expression of genes associated with disease resistance
RISB0137	Coleoptera	Coccinella septempunctata	Methylovirgula	Methylovirgula	Methylovirgula is ubiquitous in soil and has been found in many soil samples as a major species producing carbon activity, scholars have found that the microorganism has the highest content in mixed peat swamp forest systems and has the effect of harnessing and reducing methane
RISB0138	Coleoptera	Coccinella septempunctata	Rhodobacter	Rhodobacter	Rhodanobacter genera can utilize various carbon sources, including cellobiose. In larvae of longhorned beetles that feed on plants rich in carbohydrates (cellulose and hemicellulose) and lignin, Rhodanobacter can help the larvae digest more carbon nutrients through carbon sequestration
RISB0139	Coleoptera	Tenebrio molitor	Stenotrophomonas	Stenotrophomonas maltophilia	correlated with polyvinyl chloride PVC degradation
RISB0140	Hemiptera	Nilaparvata lugens	Acinetobacter	Acinetobacter	Acinetobacter can effectively degrade cellulose and harmful substances such as polystyrene and phenol.It can help the short-winged BPH to improve its detoxification ability in harsh environments and adapt to environmental changes at any time.
RISB0141	Hemiptera	Nilaparvata lugens	Candida	Candida	Candida can provide amino acids, sterols and other substances for the host and can produce a variety of detoxification enzymes to make the BPHs immune to insecticides, mycotoxins and phytotoxins
RISB0142	Hemiptera	Nilaparvata lugens	None	unclassified_Hypocreales	None
RISB0143	Hemiptera	Nilaparvata lugens	None	Yeast-like symbionts (YLS)	can use glutamine and other raw materials for the synthesis of essential amino acids, so as to supplement the BPH with amino acids that are missing in food or cannot be synthesized by itself, and the difference in nutrients can affect the difference in wing type differentiation.
RISB0144	Hemiptera	Nilaparvata lugens	Serratia	Serratia	Serratia may be related to the virulence variation of BPHs. It is speculated that the rich Serratia in the gut of the long-winged BPH can help it adapt to the harsh environment.
RISB0145	Hemiptera	Tessaratoma javanica	None	gut bacteria	None
RISB0146	Hymenoptera	Anthophora bomboides	None	brood microbiome	provide key fitness advantages through larval development and diapause
RISB0147	Lepidoptera	Oligia apameoides	Acinetobacter	Acinetobacter	None
RISB0148	Hemiptera	Pseudoregma bambucicola	Buchnera	Buchnera	supply nutrient
RISB0149	Hemiptera	Purohita taiwanensis	Buchnera	Buchnera	supply nutrient
RISB0150	Hemiptera	Takecallis taiwana	Buchnera	Buchnera	supply nutrient
RISB0151	Hemiptera	Ceratovacuna keduensis	Buchnera	Buchnera	supply nutrient
RISB0152	Hemiptera	Antonina pretiosa	Buchnera	Buchnera	supply nutrient
RISB0153	Blattodea	Reticulitermes flaviceps	Buchnera	Buchnera	supply nutrient
RISB0154	Hemiptera	Pseudoregma bambucicola	Candidatus Vidania	Candidatus Vidania	None
RISB0155	Hemiptera	Purohita taiwanensis	Candidatus Vidania	Candidatus Vidania	None
RISB0156	Hemiptera	Tropidocephala brunnipennis	Candidatus Vidania	Candidatus Vidania	None
RISB0157	Hemiptera	Antonina pretiosa	Candidatus Vidania	Candidatus Vidania	None
RISB0158	Lepidoptera	Oligia apameoides	Klebsiella	Klebsiella	None
RISB0159	Hemiptera	Pseudoregma bambucicola	None	Rhizobiaceae	None
RISB0160	Hemiptera	Purohita taiwanensis	None	Rhizobiaceae	None
RISB0161	Hemiptera	Tropidocephala brunnipennis	None	Rhizobiaceae	None
RISB0162	Hemiptera	Antonina pretiosa	None	Rhizobiaceae	None
RISB0163	Blattodea	Reticulitermes flaviceps	None	Rhizobiaceae	None
RISB0164	Hemiptera	Pseudoregma bambucicola	Serratia	Serratia	defending its host insect against various adverse conditions
RISB0165	Hemiptera	Ceratovacuna keduensis	Serratia	Serratia	defending its host insect against various adverse conditions
RISB0166	Lepidoptera	Oligia apameoides	Serratia	Serratia	defending its host insect against various adverse conditions
RISB0167	Hemiptera	Pseudoregma bambucicola	Sphingomonas	Sphingomonas	None
RISB0168	Lepidoptera	Oligia apameoides	Sphingomonas	Sphingomonas	None
RISB0169	Blattodea	Reticulitermes flaviceps	Treponema	Treponema	None
RISB0170	Hemiptera	Pseudoregma bambucicola	Wolbachia	Wolbachia	influences the reproduction of its hosts to facilitate its proliferation and transmission
RISB0171	Hemiptera	Purohita taiwanensis	Wolbachia	Wolbachia	influences the reproduction of its hosts to facilitate its proliferation and transmission
RISB0172	Hemiptera	Tropidocephala brunnipennis	Wolbachia	Wolbachia	influences the reproduction of its hosts to facilitate its proliferation and transmission
RISB0173	Hemiptera	Antonina pretiosa	Wolbachia	Wolbachia	influences the reproduction of its hosts to facilitate its proliferation and transmission
RISB0174	Hymenoptera	Apis mellifera	Bifidobacterium	Bifidobacterium asteroides	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established
RISB0175	Hymenoptera	Apis cerana	Bifidobacterium	Bifidobacterium asteroides	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established
RISB0176	Hymenoptera	Apis mellifera	Gilliamella	Gilliamella apicola	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established
RISB0177	Hymenoptera	Apis cerana	Gilliamella	Gilliamella apicola	Bifidobacterium provides complementary demethylation service to promote Gilliamella growth on methylated homogalacturonan, an enriched polysaccharide of pectin. In exchange, Gilliamella shares digestive products with Bifidobacterium, through which a positive interaction is established
RISB0178	Lepidoptera	Spodoptera frugiperda	Wolbachia	Wolbachia	inducing cytoplasmic incompatibility
RISB0179	Hemiptera	Acyrthosiphon pisum	Serratia	Serratia symbiotica	harboring Serratia improved host aphid growth and fecundity but reduced longevity. Serratia defends aphids against P. japonica by impeding the predator's development and predation capacity, and modulating its foraging behavior
RISB0180	Hemiptera	Acyrthosiphon pisum	Serratia	Serratia	Serratia defends aphids against P. japonica by impeding the predator's development and predation capacity, and modulating its foraging behavior
RISB0181	Coleoptera	Ips typographus	None	gut bacterial and fungal communities	None
RISB0182	Lepidoptera	Spodoptera frugiperda	Pantoea	Pantoea dispersa	detoxify benzoxazinoids (secondary metabolites produced by maize) and promote caterpillar growth
RISB0183	Hemiptera	Peregrinus maidis	Arsenophonus	Pm Arsenophonus sp	threonine and lysine production is carried out solely by Pm Arsenophonus sp
RISB0184	Diptera	Drosophila melanogaster	Acetobacter	Acetobacter	enhancing the brain levels of tyrosine decarboxylase 2 (Tdc2), which is an enzyme that synthesizes octopamine (OA)
RISB0185	Diptera	Drosophila melanogaster	Lactobacillus	Lactobacillus	enhancing the brain levels of tyrosine decarboxylase 2 (Tdc2), which is an enzyme that synthesizes octopamine (OA)
RISB0186	Hemiptera	Riptortus pedestris	None	gut bacteria	None
RISB0187	Hemiptera	Riptortus pedestris	Burkholderia	Burkholderia	this bacterial enrichment played a significant role in enhancing insect host reproduction
RISB0188	Hemiptera	Bemisia tabaci	Rickettsia	Rickettsia	Rickettsia plays an essential role in energy metabolism, and nutrient synthesis in the B. tabaci MEAM1, and depends on metabolites obtained from the host to ensure its survival
RISB0189	Diptera	Drosophila suzukii	Wolbachia	Wolbachia	Wolbachia positively affected female fecundity and offspring mass after a diet shift
RISB0190	Hymenoptera	Encarsia formosa	Wolbachia	Wolbachia	Wolbachia's parthenogenesis-induction feminization factor (piff) gene modulates sex determination in Encarsia formosa by regulating doublesex (dsx) expression. When Wolbachia is removed, female-specific dsx decreases while male-specific dsx increases, resulting in haploid male offspring
RISB0191	Hymenoptera	Trichogramma pretiosum	Wolbachia	Wolbachia	Wolbachia titers are relate to sex determination of host
