序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	寄生位置	传播模式	功能	功能标签	共生体序列数据	基因组序号	参考文献	doi号	期刊	出版年份	备注
RISB0012	Amplicon	Coleoptera	Scarabaeidae	Dynastinae	Oryctes rhinoceros	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	digestive symbiosis with potential plant cell wall degrading microbes	Digestive enzymes	SRX21132356-SRX21132417	None	Coconut rhinoceros beetle digestive symbiosis with potential plant cell wall degrading microbes	10.1038/s41522-024-00505-9	NPJ BIOFILMS AND MICROBIOMES	2024	None
RISB0013	Metagenome	Coleoptera	Scarabaeidae	Dynastinae	Oryctes rhinoceros	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	digestive symbiosis with potential plant cell wall degrading microbes	Digestive enzymes	SRX21132418	None	Coconut rhinoceros beetle digestive symbiosis with potential plant cell wall degrading microbes	10.1038/s41522-024-00505-9	NPJ BIOFILMS AND MICROBIOMES	2024	None
RISB0014	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rhodospirillales	Asaia	Genus	Asaia	Asaia	Bacteria	Extracellular	None	The bacterium Asaia is considered a highly promising candidate for arboviral control in Aedes mosquitoes.Asaia could play a role in inhibiting CHIKV within Ae. aegypti.	Pathogen interaction	PRJNA1043583	None	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None
RISB0015	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Bacteroidota	Flavobacteriales	Chryseobacterium	Genus	Chryseobacterium	Chryseobacterium	Bacteria	Extracellular	None	None	None	PRJNA1043583	None	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None
RISB0016	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rhodospirillales	Gluconobacter	Genus	Gluconobacter	Gluconobacter	Bacteria	Extracellular	None	Gluconobacter might increase the susceptibility of Ae. aegypti to CHIKV infection.	Pathogen interaction	PRJNA1043583	None	Comparative analysis of midgut bacterial communities in Chikungunya virus-infected and non-infected Aedes aegypti Thai laboratory strain mosquitoes	10.1038/s41598-024-61027-0	SCIENTIFIC REPORTS	2024	None
RISB0017	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Moraxellales	Acinetobacter	Genus	Acinetobacter	Acinetobacter calcoaceticus strain NRYSBAC-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515472	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0018	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRYSBBS-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	OR186508	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0019	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus cereus strain NRYSBBC-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515473	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0020	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRYSBBP-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515471	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0021	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus sp. strain NRSSBBS-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520737	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0022	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus proteolyticus strain NRSSBBP-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520738	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0023	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus stratosphericus strain NRSSBBS-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520739	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0024	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus subtilis strain NRSSBSUB-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520739	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0025	Symbiont	Lepidoptera	Crambidae	Crambinae	Chilo suppressalis	Bacillota	Bacillales	Bacillus	Genus	Bacillus	Bacillus albus strain NRSSBBA-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520740	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0026	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus faecalis strain NRPSBEF-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515475	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0027	Symbiont	Lepidoptera	Crambidae	Schoenobiinae	Scirpophaga incertulas	Pseudomonadota	Enterobacterales	Klebsiella	Genus	Klebsiella	Klebsiella sp. strain NRYSBKS-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520695	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0028	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Peptostreptococcales	Paraclostridium	Genus	Paraclostridium	Paraclostridium sp. strain NRPSBPS-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520779	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0029	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Bacillales	Staphylococcus	Genus	Staphylococcus	Staphylococcus sp. strain NRPSBSS-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520735	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0030	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Bacillota	Bacillales	Staphylococcus	Genus	Staphylococcus	Staphylococcus pavanii strain NRPSBSP-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON520736	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0031	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas sp. strain NRPSBSP-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515474	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0032	Symbiont	Lepidoptera	Noctuidae	Amphipyrinae	Sesamia inferens	Pseudomonadota	Lysobacterales	Stenotrophomonas	Genus	Stenotrophomonas	Stenotrophomonas sp. strain NRPSBSM-1	Bacteria	Extracellular	None	degrade Chlorpyrifos and Chlorantraniliprole in vitro	Pesticide metabolization	ON515476	None	Comparative assessment of the gut bacterial diversity associated with field population of three rice stem borers and their in vitro insecticide degradation ability	10.1016/j.aspen.2024.102229	JOURNAL OF ASIA-PACIFIC ENTOMOLOGY	2024	None
RISB0033	Symbiont	Hemiptera	Cimicidae	None	Cimex lectularius	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia wCle	Bacteria	Intracellular	Vertical	supplying B vitamins	Nutrient provision	None	None	Development, feeding, and sex shape the relative quantity of the nutritional obligatory symbiont Wolbachia in bed bugs	10.3389/fmicb.2024.1386458	FRONTIERS IN MICROBIOLOGY	2024	None
RISB0034	Symbiont	Coleoptera	Attelabidae	Attelabinae	Euops chinensis	Ascomycota	Eurotiales	Penicillium	Genus	Penicillium	Penicillium herquei	Fungi	Extracellular	None	P. herquei has the potential to synthesize or concentrate ergosterol, amino acids, and B vitamins and benefits the larvae of E. chinensis	Nutrient provision	None	None	Dietary potential of the symbiotic fungus Penicillium herquei for the larvae of a nonsocial fungus-cultivating weevil Euops chinensis	10.1128/aem.01537-23	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2024	None
RISB0035	Symbiont	Coleoptera	Curculionidae	Scolytinae	Anisandrus maiche	Ascomycota	Microascales	Ambrosiella	Genus	Ambrosiella	Ambrosiella cleistominuta	Fungi	Extracellular	None	None	None	None	None	Distribution of the invasive ambrosia beetle Anisandrus maiche (Coleoptera, Scolytinae) in Switzerland and first record in Europe of its ambrosia fungus Ambrosiella cleistominuta	10.3897/alpento.8.117537	ALPINE ENTOMOLOGY	2024	None
RISB0036	Symbiont	Diptera	Culicidae	Culicinae	Aedes aegypti	Pseudomonadota	Rickettsiales	Wolbachia	Genus	Wolbachia	Wolbachia	Bacteria	Intracellular	Vertical	None	None	None	None	Diversity of Wolbachia infections in Sri Lankan mosquitoes with a new record of Wolbachia Supergroup B infecting Aedes aegypti vector populations	10.1038/s41598-024-62476-3	SCIENTIFIC REPORTS	2024	None
RISB0037	Amplicon	Hemiptera	Aphrophoridae	None	Philanus spumarius	None	None	None	None	None	gut bacteria	Bacteria	Extracellular	None	degrade cellulose	Digestive enzymes	OM243853-OM243910	None	Diversity, Composition, and Specificity of the Philaenus spumarius Bacteriome	10.3390/microorganisms12020298	MICROORGANISMS	2024	None
RISB0038	Symbiont	Diptera	Culicidae	Anophelinae	Anopheles arabiensis	Microsporidia	None	None	Genus	Microsporidia	Microsporidia sp. MB	Fungi	Extracellular	Horizontal	a malaria-blocking microsporidian symbiont	Pathogen interaction	GCA_032191455.1	GISB0461	Draft genome of Microsporidia sp. MB—a malaria-blocking microsporidian symbiont of the Anopheles arabiensis	10.1128/MRA.00903-23	Microbiology Resource Announcements	2024	None
RISB0039	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Bacillota	Lactobacillales	Lactobacillus	Genus	Lactobacillus	Lactobacillus	Bacteria	None	None	None	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None
RISB0040	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella	Bacteria	None	None	None	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None
RISB0041	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Pseudomonadota	Enterobacterales	Providencia	Genus	Providencia	Providencia	Bacteria	None	None	None	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None
RISB0042	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Bacillota	Lactobacillales	Vagococcus	Genus	Vagococcus	Vagococcus	Bacteria	None	None	None	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None
RISB0043	Symbiont	Coleoptera	Cerambycidae	Lamiinae	Anoplophora glabripennis	Ascomycota	Hypocreales	Fusarium	Genus	Fusarium	Fusarium solani	Fungi	Extracellular	None	weight and head capsule width were higher in larvae fed on F. solani, and gut lignocellulose activities were elevated in fed larvae	Growth and Development,Digestive enzymes	None	None	Effects of Fusarium solani on the Growth and Development of Anoplophora glabripennis Larvae	10.1007/s00248-023-02332-5	MICROBIAL ECOLOGY	2024	None
RISB0044	Symbiont	Blattodea	Ectobiidae	Plectopterinae	Supella longipalpa	Bacteroidota	Flavobacteriales	Blattabacterium	Genus	Blattabacterium	Blattabacterium	Bacteria	Intracellular	None	Blattabacterium endosymbionts could directly or indirectly influence the composition of other bacterial populations by reducing diversity	None	None	None	Endosymbiont and gut bacterial communities of the brown-banded cockroach, Supella longipalpa	10.7717/peerj.17095	PEERJ	2024	None
RISB0045	Symbiont	Hemiptera	Pseudococcidae	None	Phenacoccus solenopsis	Pseudomonadota	None	Candidatus Tremblaya	Genus	Tremblaya	Tremblaya phenacola	Bacteria	None	None	T. phenacola PSOL contributed to high fecundity in P. solenopsis	Fertility	PRJNA550279	None	Endosymbiont Tremblaya phenacola influences the reproduction of cotton mealybugs by regulating the mechanistic target of rapamycin pathway	10.1093/ismejo/wrae052	The ISME Journal	2024	None
RISB0046	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Ascomycota	Hypocreales	Hirsutella	Genus	Hirsutella	Hirsutella proturicola	Fungi	None	None	None	None	None	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None
RISB0047	Amplicon	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	None	None	None	None	None	fungal community	Fungi	None	None	None	None	SRR26315497-SRR26315600	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None
RISB0048	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Ascomycota	Hypocreales	Ophiocordyceps	Genus	Ophiocordyceps	Ophiocordyceps heteropoda	Fungi	None	None	None	None	None	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None
RISB0049	Symbiont	Hemiptera	Delphacidae	Delphacinae	Nilaparvata lugens	Ascomycota	Hypocreales	Polycephalomyces	Genus	Polycephalomyces	Polycephalomyces prolificus	Fungi	None	None	None	None	None	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None
RISB0050	Symbiont	Lepidoptera	Sphingidae	Smerinthinae	Clanis bilineata tsingtauica	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus casseliflavus	Bacteria	None	None	regulates amino acid metabolism	None	SRR26926462 -SRR26926470	None	Enterococcus casseliflavus regulates amino acid metabolism in edible insect Clanis bilineata tsingtauica: a functional metagenomics study	10.3389/fmicb.2024.1343265	FRONTIERS IN MICROBIOLOGY	2024	None
RISB0051	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera aphidicola	Bacteria	None	None	None	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
RISB0052	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus silesiacus	Bacteria	None	None	None	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
RISB0053	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella morganii	Bacteria	None	None	None	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
RISB0054	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Chordata	Caudata	Proteus	Genus	Proteus	Cosenzaea myxofaciens	Bacteria	None	None	None	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
RISB0055	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia symbiotica	Bacteria	None	None	None	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
RISB0056	Symbiont	Coleoptera	Curculionidae	Scolytinae	Dendroctonus ponderosae	Ascomycota	Ophiostomatales	Grosmannia	Genus	Grosmannia	Grosmannia clavigera	Fungi	Extracellular	None	fungal pathogenicity likely is more important in aiding MPB colonization and development within the host tree	None	None	None	Evidence that Ophiostomatoid Fungal Symbionts of Mountain Pine Beetle Do Not Play a Role in Overcoming Lodgepole Pine Defenses During Mass Attack	10.1094/MPMI-06-23-0077-R	MOLECULAR PLANT-MICROBE INTERACTIONS	2024	None
RISB0057	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp07	Bacteria	None	None	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_037083725.1	GISB0462	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
RISB0058	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp00	Bacteria	None	None	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_037083745.1	GISB0463	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
RISB0059	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp04	Bacteria	None	None	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_037083765.1	GISB0464	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
RISB0060	Symbiont	Coleoptera	Melyridae	Dasytinae	Danacea nigritarsis GER	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri DngrGER	Bacteria	None	None	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041941745.1	GISB0465	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
