Insect Species	Order	Family	Subfamily	Genus	Common Name	Description	Figure Source	Genome ID	Genome Level	BUSCO
Acromyrmex subterraneus subterraneus	Hymenoptera	Formicidae	Myrmicinae	Acromyrmex	None	Description is currently not available	Wikipedia	None	None	None
Acrosternum arabicum	Hemiptera	Pentatomidae	Pentatominae	Acrosternum	None	Description is currently not available	Wikipedia	None	None	None
Acyrthosiphon malvae	Hemiptera	Aleyrodidae	Aleyrodinae	Acyrthosiphon	None	Description is currently not available	Wikipedia	None	None	None
Acyrthosiphon pisum	Hemiptera	Aphididae	Aphidinae	Acyrthosiphon	pea aphid	Acyrthosiphon pisum is a sap-sucking insect in the family Aphididae. It feeds on several species of legumes (plant family Fabaceae) worldwide, including forage crops, such as pea, clover, alfalfa, and broad bean, and ranks among the aphid species of major agronomical importance.The pea aphid is a model organism for biological study whose genome has been sequenced and annotated.	Andrew Jensen@BY-NC-SA	GCA_005508785.1	Chromosome	C:96.2%[S:93.1%,D:3.1%],F:0.8%,M:3.0%,n:1367
Adalia bipunctata	Coleoptera	Coccinellidae	Coccinellinae	Adalia	None	Adalia bipunctata,  the two-spot ladybird, two-spotted ladybug or two-spotted lady beetle, is a carnivorous beetle of the family Coccinellidae that is found throughout the holarctic region. It is very common in western and central Europe. It is also native to North America but it has heavily declined in many states and provinces. It is commonly introduced and imported as a biological control agent.	Wikipedia	None	None	None
Adalia decempunctata	Coleoptera	Coccinellidae	Coccinellinae	Adalia	None	Adalia decempunctata, the ten-spotted ladybird or ten-spotted lady beetle, is a carnivorous beetle of the family Coccinellidae.	Wikipedia	GCA_951802165.1	Chromosome	C:98.98%[S:97.88%,D:1.10%],F:0.15%,M:0.88%,n:1367
Adelges nordmannianae	Hemiptera	Adelgidae	None	Adelges	None	Description is currently not available	Wikipedia	None	None	None
Adelges tsugae	Hemiptera	Adelgidae	None	Adelges	None	Adelges tsugae, the hemlock woolly adelgid  or HWA, is an insect of the order Hemiptera  native to East Asia. It feeds by sucking sap from hemlock and spruce trees . In its native range, HWA is not a serious pest because populations are managed by natural predators and parasitoids and by host resistance. In eastern North America it is a destructive pest that threatens the eastern hemlock  and the Carolina hemlock . HWA is also found in western North America, where it has likely been present for thousands of years. In western North America, it primarily attacks western hemlock Tsuga heterophylla and has only caused minor damage due to natural predators and host resistance. Accidentally introduced to North America from Japan, HWA was first found in the eastern United States near Richmond, Virginia, in 1951. The pest is now found from northern Georgia to coastal Maine and southwestern Nova Scotia as well as areas of western Michigan near the eastern Lake Michigan shoreline. As of 2015, HWA has affected 90% of the geographic range of eastern hemlock in North America.	Wikipedia	None	None	None
Adelphocoris suturalis	Hemiptera	Miridae	Mirinae	Adelphocoris	None	Description is currently not available	Wikipedia	GCA_030762985.1	Chromosome	C:97.44%[S:92.10%,D:5.34%],F:0.51%,M:2.05%,n:1367
Aedes aegypti	Diptera	Culicidae	Culicinae	Aedes	yellow fever mosquito	Aedes aegypti is a mosquito that can spread dengue fever, chikungunya, Zika fever, Mayaro and yellow fever viruses, and other disease agents. The mosquito can be recognized by white markings on its legs and a marking in the form of a lyre on the upper surface of its thorax. This mosquito originated in Africa, but is now found in tropical, subtropical and temperate regions throughout the world.	Jesse Rorabaugh@CC0	GCA_002204515.1	Chromosome	C:98.4%[S:93.1%,D:5.3%],F:0.9%,M:0.7%,n:1367
Aedes albopictus	Diptera	Culicidae	Culicinae	Aedes	tiger mosquito or forest mosquito	Aedes albopictus , from the mosquito (Culicidae) family, is a mosquito native to the tropical and subtropical areas of Southeast Asia. In the past few decades, however, this species has spread to many countries through the transport of goods and international travel. It is characterized by the white bands on its legs and body.This mosquito has become a significant pest in many communities because it closely associates with humans (rather than living in wetlands), and typically flies and feeds in the daytime in addition to at dusk and dawn.	Sean McCann@BY-NC-SA	GCA_006496715.1	Scaffold	C:95.7%[S:77.0%,D:18.7%],F:0.7%,M:3.6%,n:1367
Aedes fluviatilis	Diptera	Culicidae	Culicinae	Aedes	None	Description is currently not available	Wikipedia	None	None	None
Aethalotus nigriventris	Hemiptera	Lygaeidae	Lygaeidae	Aethalotus	None	Description is currently not available	Wikipedia	None	None	None
Aethina tumida	Coleoptera	Nitidulidae	Nitidulinae	Aethina	small hive beetle	Aethina tumida is a beekeeping pest. It is endemic to sub-Saharan Africa, but has spread to many other locations, including North America, Australia, and the Philippines.It can be a destructive pest of honey bee colonies, causing damage to comb, stored honey, and pollen.	blake hendon@BY-NC	GCF_001937115.1	Contig	C:96.2%[S:88.9%,D:7.3%],F:2.0%,M:1.8%,n:1367
Agonoscena pistaciae	Hemiptera	Aphalaridae	None	Agonoscena	None	Description is currently not available	Wikipedia	None	None	None
Agrilus planipennis	Coleoptera	Buprestidae	Agrilinae	Agrilus	emerald ash borer	Agrilus planipennis is a green buprestid or jewel beetle native to north-eastern Asia that feeds on ash species. Females lay eggs in bark crevices on ash trees, and larvae feed underneath the bark of ash trees to emerge as adults in one to two years. In its native range, it is typically found at low densities and does not cause significant damage to trees native to the area.	Macroscopic Solutions@BY-NC	GCA_000699045.2	Scaffold	C:97.7%[S:91.0%,D:6.7%],F:0.7%,M:1.6%,n:1367
Agrotis ipsilon	Lepidoptera	Noctuidae	Noctuinae	Agrotis	dark sword-grass, black cutworm, greasy cutworm, floodplain cutworm or ipsilon dart	Agrotis ipsilon is a small noctuid moth found worldwide. The moth gets its scientific name from black markings on its forewings shaped like the letter Y or the Greek letter upsilon. The larvae are known as cutworms because they cut plants and other crops. The larvae are serious agricultural pests and feed on nearly all varieties of vegetables and many important grains.	John Trent@BY-NC-ND	GCA_004193855.1	Scaffold	C:97.9%[S:97.1%,D:0.8%],F:0.5%,M:1.6%,n:1367
Aldrichina grahami	Diptera	Glossinidae	None	Aldrichina	None	Aldrichina grahami is a significant medical and forensic insect belonging to the family calliphoridae.	Dr. Meenakshi Bharti@BY	None	Chromosome	C:99.2%[S:98.7%,D:0.5%],F:0.3%,M:0.5%,n:1367
Aleurocanthus camellia	Hemiptera	Aleyrodidae	Aleyrodinae	Aleurocanthus	None	Description is currently not available	Wikipedia	None	None	None
Aleurocanthus spiniferus	Hemiptera	Aleyrodidae	Aleyrodinae	Aleurocanthus	None	Aleurocanthus spiniferus, the citrus spiny whitefly, is an insect native to Asia. It is considered an invasive pest, notably affecting citrus and tea plants. They are part of the whitefly family.	Wikipedia	None	None	None
Aleurodicus rugioperculatus	Hemiptera	Aleyrodidae	Aleurodicinae	Aleurodicus	None	Aleurodicus rugioperculatus  is a species of whitefly found throughout the Florida Keys. This insect was first described by Jon H. Martin in 2004.	Sanjay Kumar Pradhan@CC BY-NC	None	None	None
Alphitobius diaperinus	Coleoptera	Tenebrionidae	Tenebrioninae	Alphitobius	None	Alphitobius diaperinus is a species of beetle in the family Tenebrionidae, the darkling beetles. It is known commonly as the lesser mealworm and the litter beetle. It has a cosmopolitan distribution, occurring nearly worldwide. It is known widely as a pest insect of stored food grain products such as flour, and of poultry-rearing facilities and it is a vector of many kinds of animal pathogens. In larval form, it is an approved novel food in the European Union, and also used as animal feed.	Wikipedia	None	None	None
Alydus tomentosus	Hemiptera	Alydidae	None	Alydus	None	Alydus tomentosus is a species of broad-headed bug in the family Alydidae. It is found in North America.	None	None	None	None
Ambrosiodmus minor	Coleoptera	Curculionidae	Scolytinae	Ambrosiodmus	None	Description is currently not available	Wikipedia	None	None	None
Amphimallon solstitiale	Coleoptera	Scarabaeidae	Melolonthinae	Amphimallon	None	Amphimallon solstitiale, also known as the summer chafer or European june beetle, is a beetle similar to the cockchafer but much smaller, approximately 20 millimetres  in length. They are declining in numbers now, but where found they are often seen in large numbers. At dusk they actively fly around tree tops looking for a mate and can often be found drowning in pools of water the following morning. They are also attracted to light and come in through open, lit windows and fly around lamps, making quite a racket while bumping into lights. They are found throughout the Palearctic region  and, commonly seen from June to August, living in meadows, hedgerows, and gardens, and eating plants and tree foliage.	Kim Falck@CC BY-NC	GCA_963170755.1	Chromosome	C:99.92%[S:98.46%,D:1.46%],F:0.00%,M:0.07%,n:1367
Anacanthocoris striicornis	Hemiptera	Coreidae	None	Anacanthocoris	None	Description is currently not available	Wikipedia	None	None	None
Anaphes nitens	Hymenoptera	Mymaridae	None	Anaphes	None	Anaphes nitens is a species of fairyfly, a chalcid wasp in the family Mymaridae. Native to Australia, it is an egg parasitoid of the gum tree snout beetle , a pest of Eucalyptus trees, and has been used in biological pest control of that species.	None	None	None	None
Anasa tristis	Hemiptera	Coreidae	Coreinae	Anasa	None	Anasa tristis is a species of bug in the family Coreidae. It is a major pest of squash and pumpkins, found throughout North America, and is a vector of the cucurbit yellow vine disease bacterium. These bugs can emit an unpleasant odor when disturbed. It is commonly known as the squash bug but shares this name with certain other species.	Wikipedia	None	None	None
Anastrepha fraterculus	Diptera	Tephritidae	Trypetinae	Anastrepha	None	Anastrepha fraterculus, known as the South American fruit fly, is a fruit fly species from the genus Anastrepha. A. fraterculus is a polyphagous, frugivorous fly that is a significant pest of commercial fruit production in South America.	Wikipedia	GCA_037575425.1	Contig	C:99.27%[S:96.93%,D:2.34%],F:0.37%,M:0.29%,n:1367
Anastrepha obliqua	Diptera	Tephritidae	Trypetinae	Anastrepha	None	Anastrepha obliqua is a species of fruit fly. It is the most important fruit fly pest of mangoes in Neotropics and attacks a wide range of other spicy fruits. A. obliqua is widespread in Mexico, Central and South America and the West Indies. It is sometimes called the West Indian fruit fly in English.	Wikipedia	GCA_027943255.1	Chromosome	C:99.78%[S:98.76%,D:1.02%],F:0.15%,M:0.07%,n:1367
Anastrepha striata	Diptera	Tephritidae	Trypetinae	Anastrepha	None	Description is currently not available	Wikipedia	None	None	None
Anisandrus maiche	Coleoptera	Curculionidae	Scolytinae	Anisandrus	None	Description is currently not available	Wikipedia	None	None	None
Anoecia corni	Hemiptera	Anoeciidae	None	Anoecia	None	Aphis corni	Wikipedia	None	None	None
Anopheles arabiensis	Diptera	Culicidae	Anophelinae	Anopheles	None	Anopheles arabiensis belongs to the An. gambiae species complex, and is one of the most important vectors of malaria in sub-Saharan Africa and surrounding islands.	James Gathany.Scientific photographer,CDC@CC0	GCA_016920715.1	Chromosome	C:99.5%[S:98.5%,D:1.0%],F:0.1%,M:0.4%,n:1367
Anopheles barbirostris	Diptera	Culicidae	Anophelinae	Anopheles	None	Anopheles barbirostris is a species complex of mosquito belonging to the genus Anopheles. Larvae found in clean, lotic bodies of water. Females are zoophilic, mainly feed blood on cattle and humans. It is also an important vector for Plasmodium falciparum in Sri Lanka and Timor, for both Plasmodium vivax and P. falciparum in Bangladesh.	Wikipedia	None	None	None
Anopheles coluzzii	Diptera	Culicidae	Anophelinae	Anopheles	None	Anopheles coluzzii have the broadest geographical distribution , and are the most important vectors of human malaria.	None	GCA_016097175.1	Chromosome	C:96.3%[S:95.2%,D:1.1%],F:0.7%,M:3.0%,n:1367
Anopheles gambiae	Diptera	Culicidae	Anophelinae	Anopheles	None	Anopheles gambiae is one of the most efficient malaria vectors known. The An. gambiae mosquito additionally transmits Wuchereria bancrofti which causes Lymphatic philariasis, more commonly known as elephantiasis.	James Gathany.Scientific photographer,CDC@CC0	GCF_000005575.2	Chromosome	C:99.1%[S:97.3%,D:1.8%],F:0.3%,M:0.6%,n:1367
Anopheles sinensis	Diptera	Culicidae	Anophelinae	Anopheles	None	Anopheles sinensis is a species of mosquito that transmits malaria as well as lymphatic filariasis. It is regarded as the most important vector of these human parasitic diseases in Southeast Asia. It is the primary vector of vivax malaria (Plasmodium vivax) in many regions. In China it also transmits the filalarial parasite (Wuchereria bancrofti), and arthropod roundworm (Romanomermis jingdeensis). In Japan it is also a vector of a roundworm Setaria digitata in sheep and goats.	James Gathany,CDC@CC0	GCA_000441895.2	Scaffold	C:97.1%[S:95.9%,D:1.2%],F:0.7%,M:2.2%,n:1367
Anopheles stephensi	Diptera	Culicidae	Anophelinae	Anopheles	None	Anopheles stephensi is a primary mosquito vector of malaria in urban India and is included in the same subgenus as Anopheles gambiae, the primary malaria vector in Africa.	James Gathany.Scientific photographer,CDC@CC0	GCA_013141755.1	Chromosome	C:99.5%[S:95.6%,D:3.9%],F:0.1%,M:0.4%,n:1367
Anoplophora glabripennis	Coleoptera	Cerambycidae	Lamiinae	Anoplophora	Asian long-horned beetle,starry sky, sky beetle, or ALB	Anoplophora glabripennis is native to eastern China, and Korea. This species has now been accidentally introduced into the United States, where it was first discovered in 1996, as well as Canada, and several countries in Europe, including Austria, France, Germany, Italy and UK. This beetle is believed to have been spread from Asia in solid wood packaging material.	葉子@BY-NC-ND	GCA_000390285.2	Scaffold	C:98.8%[S:96.9%,D:1.9%],F:0.6%,M:0.6%,n:1367
Antestiopsis thunbergii	Hemiptera	Pentatomidae	Pentatominae	Antestiopsis	None	Description is currently not available	Wikipedia	None	None	None
Antheraea assamensis	Lepidoptera	Pyralidae	Galleriinae	Antheraea	None	Antheraea assamensis, known as the muga silkworm as a larva and Assam silk moth as an adult, is a moth of the family Saturniidae. The species was first described by Johann Wilhelm Helfer in 1837. It is found in Assam in northeast India where 99% of its production occurs.	Wikipedia	GCA_035772565.1	Contig	C:99.93%[S:98.39%,D:1.54%],F:0.07%,M:0.00%,n:1367
Antheraea mylitta	Lepidoptera	Saturniidae	Saturniinae	Antheraea	South India small tussore,tasar silkworm and vanya silkworm	Antheraea paphia is a species of moth of the family Saturniidae found in India and Sri Lanka. The bulk of the literature on this species uses a junior synonym, Antheraea mylitta, rather than the correct name, A. paphia. It is one of a number of tasar silkworms, species that produce Tussar silk, a kind of wild silk that is made from the products of saturniid silkworms instead of the domesticated silkworm (Bombyx mori).This species is variable, with at least 44 identified ecoraces, populations adapted to varied ecological conditions and food plants. Ten ecoraces are used for silk production and have been studied to obtain data about their life cycles and silk characteristics. Some ecoraces are so well differentiated that they do not interbreed in nature, though they are not genetically distinct and can be bred in captivity.	Dean Morley@BY-ND	GCA_014332785.1	Scaffold	C:97.7%[S:91.6%,D:6.1%],F:0.7%,M:1.6%,n:1367
Anthophora bomboides	Hymenoptera	Apidae	Apinae	Anthophora	None	Anthophora bomboides is a species of anthophorine bee in the family Apidae. It is found in North America.	Wikipedia	None	None	None
Anticarsia gemmatalis	Lepidoptera	Erebidae	Erebinae	Anticarsia	velvetbean caterpillar or velvetbean moth	Anticarsia gemmatalis is a tropical species of caterpillar and moth that migrates north each season. The species can commonly be found in the Gulf states, north as far as Wisconsin. The adults have wings that are grayish brown, crossed with brown or black zigzag lines. The caterpillars are black or green, with narrow lighter stripes on the back and sides. They spit out a brownish substance, spring into the air and wriggle a lot when they are disturbed. The species eats velvet beans, peanut, soybeans, cotton, kudzu, alfalfa, cowpeas, horse beans, snap beans, lima beans, and coffeeweeds. Its common name is velvetbean caterpillar and velvetbean moth.	Wikipedia	None	None	None
Antonina pretiosa	Hemiptera	Aleyrodidae	Aleyrodinae	Antonina	None	Description is currently not available	Wikipedia	None	None	None
Aphelinus abdominalis	Hymenoptera	Aphelinidae	Aphelininae	Aphelinus	None	Aphelinus abdominalis is a parasitoid wasp and biocontrol agent used to control several aphid species that are pests of agricultural crops, including the potato aphid Macrosiphum euphorbiae.	Wikipedia	None	None	None
Aphelinus glycinis	Hymenoptera	Aphelinidae	Aphelininae	Aphelinus	None	Description is currently not available	Wikipedia	None	None	None
Aphidius colemani	Hymenoptera	Formicidae	Pseudomyrmecinae	Aphidius	None	Description is currently not available	Wikipedia	GCA_030523065.1	Scaffold	C:97.37%[S:96.49%,D:0.88%],F:1.39%,M:1.10%,n:1367
Aphis asclepiadis	Hemiptera	Aphididae	Aphidinae	Aphis	None	Description is currently not available	Wikipedia	None	None	None
Aphis aurantii	Hemiptera	Aphididae	Aphidinae	Aphis	None	Description is currently not available	Wikipedia	None	None	None
Aphis craccivora	Hemiptera	Aphididae	Aphidinae	Aphis	cowpea aphid, groundnut aphid or black legume aphid	Aphis craccivora is a true bug in the family Aphididae.Originally of probable Palearctic origin, it is now an invasive species of cosmopolitan distribution.	Jesse Rorabaugh@CC0	GCA_009835225.1	Scaffold	C:94.6%[S:92.0%,D:2.6%],F:2.0%,M:3.4%,n:1367
Aphis fabae	Hemiptera	Aphididae	Aphidinae	Aphis	None	The black bean aphid is a small black insect in the genus Aphis, with a broad, soft body, a member of the order Hemiptera. Other common names include blackfly, bean aphid, and beet leaf aphid.	Alexis Tinker-Tsavalas@CC BY	None	None	None
Aphis glycines	Hemiptera	Aphididae	Aphidinae	Aphis	soybean aphid	Aphis glycines is an insect pest of soybean that is exotic to North America.The soybean aphid is native to Asia. It has been described as a common pest of soybeans in China.	Jorge Schlemmer@BY-NC	GCA_009928515.1	Scaffold	C:93.2%[S:91.1%,D:2.1%],F:0.7%,M:6.1%,n:1367
Aphis gossypii	Hemiptera	Aphididae	Aphidinae	Aphis	None	Aphis gossypii is a tiny insect, an aphid (greenfly) in the superfamily Aphidoidea in the order Hemiptera. It is a true bug and sucks sap from plants. It is a widely distributed pest of a variety of agricultural crops in the families Cucurbitaceae, Rutaceae and Malvaceae.[2] Common names include cotton aphid, melon aphid and melon and cotton aphid.	Jesse Rorabaugh@CC0	GCA_004010815.1	Scaffold	C:93.2%[S:89.0%,D:4.2%],F:2.0%,M:4.8%,n:1367
Aphis nerii	Hemiptera	Aphididae	Aphidinae	Aphis	None	Description is currently not available	Wikipedia	None	None	None
Aphytis melinus	Hymenoptera	Aphelinidae	Aphelininae	Aphytis	None	Aphytis melinus is an internal parasite of the California red scale, Aonidiella aurantii, which is a pest of citrus in California and elsewhere. This wasp drums its antennae against the scale insect to find out if it is healthy, if it is already parasitized, how large it is, etc., to decide how to use this prey. It has four choices : leave the scale to keep searching, feed directly on the scale, use the scale as a host for a male A. melinus, or use the scale for a female A. melinus.	None	None	None	None
Apis cerana	Hymenoptera	Apidae	Apinae	Apis	the eastern honey bee, Asiatic honey bee or Asian honey bee	Apis cerana is a species of honey bee native to southern, southeastern, and eastern Asia. This species is the sister species of Apis koschevnikovi and both are in the same subgenus as the western (European) honey bee, Apis mellifera. A. cerana is known to live sympatrically along with Apis koschevnikovi within the same geographic location.Apis cerana colonies are known for building nests consisting of multiple combs in cavities containing a small entrance, presumably for defense against invasion by individuals of another nest.The diet of this honey bee species consists mostly of pollen and nectar, or honey. Moreover, Apis cerana is known for its highly social behavior, reflective of its classification as a type of honey bee.	Circle Fong@BY-NC	GCA_011100585.1	Chromosome	C:99.6%[S:99.4%,D:0.2%],F:0.1%,M:0.3%,n:1367
Apis florea	Hymenoptera	Apidae	Apinae	Apis	dwarf honey bee or red dwarf honey bee	Apis florea is one of two species of small, wild honey bees of southern and southeastern Asia. It has a much wider distribution than its sister species, Apis andreniformis. First identified in the late 18th century, Apis florea is unique for its morphology, foraging behavior and defensive mechanisms like making a piping noise. Apis florea have open nests and small colonies, which makes them more susceptible to predation than cavity nesters with large numbers of defensive workers. These honey bees are important pollinators and therefore commodified in countries like Cambodia.	John Ascher@BY-NC	GCA_000184785.3	Scaffold	C:79.2%[S:79.2%,D:0.0%],F:1.4%,M:19.4%,n:1367
Apis mellifera	Hymenoptera	Apidae	Apinae	Apis	western honey bee or European honey bee	Apis mellifera is the most common of the 7–12 species of honey bees worldwide. The genus name Apis is Latin for bee, and mellifera is the Latin for honey-bearing, referring to the species production of honey.It was one of the first domesticated insects, and it is the primary species maintained by beekeepers to this day for both its honey production and pollination activities.	Roberto R. Calderón@BY-NC	GCA_003254395.2	Chromosome	C:99.5%[S:99.4%,D:0.1%],F:0.1%,M:0.4%,n:1367
Apolygus lucorum	Hemiptera	Miridae	Mirinae	Apolygus	None	Apolygus lucorum is a species of true bug in the Miridae family. It can be found everywhere in Europe except for Albania, Bulgaria, Iceland, Malta, and Portugal. and much of the Mediterranean basin, then east across the Palearctic to China and Japan.	Christian Grenier@CC0	GCA_009739505.2	Chromosome	C:94.2%[S:91.9%,D:2.3%],F:2.5%,M:3.3%,n:1367
Asobara japonica	Hymenoptera	Braconidae	Alysiinae	Asobara	none	Asobara japonica is a species of wasps belonging to the family Braconidae.	None	GCA_017141405.1	Contig	C:97.0%[S:96.6%,D:0.4%],F:0.9%,M:2.1%,n:1367
Asobara tabida	Hymenoptera	Formicidae	Pseudomyrmecinae	Asobara	None	Description is currently not available	Wikipedia	None	None	None
Aspongopus chinensis	Hemiptera	Dinidoridae	None	Aspongopus	None	Description is currently not available	Wikipedia	None	None	None
Atractomorpha sinensis	Orthoptera	Pyrgomorphidae	Pyrgomorphinae	Atractomorpha	None	Description is currently not available	Wikipedia	None	None	None
Atta cephalotes	Hymenoptera	Formicidae	Myrmicinae	Atta	None	Atta cephalotes is a species of leafcutter ant in the tribe Attini (the fungus-growing ants). A single colony of ants can contain up to 5 million members, and each colony has one queen that can live more than 15 years. The colony comprises different castes, known as task partitioning, and each caste has a different job to do.	Denilson Eliu Ordoñez Moreno@BY-NC	GCA_000143395.2	Scaffold	C:97.4%[S:97.3%,D:0.1%],F:1.0%,M:1.6%,n:1367
Atta sexdens	Hymenoptera	Formicidae	Myrmicinae	Atta	None	Atta sexdens is a species of leafcutter ant belonging to the tribe Attini, native to America, from the southern United States  to northern Argentina. They are absent from Chile. They cut leaves to provide a substrate for the fungus farms which are their principal source of food. Their societies are among the most complex found in social insects. A. sexdens is an ecologically important species, but also an agricultural pest. Other Atta species, such as Atta texana, Atta cephalotes and others, have similar behavior and ecology.	verneau@CC BY-NC-ND	None	None	None
Bactericera cockerelli	Hemiptera	Triozidae	None	Bactericera	None	Bactericera cockerelli, also known as the potato psyllid, is a species of  psyllid native to southern North America.  Its range extends from Central America north to the American Pacific Northwest and parts of Manitoba, in Canada.  It is restricted to the western part of the continent.  As its name suggests, it is commonly found on potato and tomato crops, but has a species range that encompasses over 40 species of solanaceous plants and as many as 20 genera.   Breeding hosts are generally recognised as being restricted primarily to Solanaceae, including important crop and common weed species, and a few species of Convolvulaceae, including bindweed and sweet potato. On some plants, especially potato, feeding of the nymphs causes a condition called psyllid yellows, presumed to be the result of a toxin.  Both nymphs and adults can transmit the bacterium Candidatus Liberibacter.	Andrew Jensen@CC BY-NC-SA	None	None	None
Bactericera trigonica	Hemiptera	Triozidae	None	Bactericera	None	Description is currently not available	Wikipedia	None	None	None
Bactericerca cockerelli	Hemiptera	Triozidae	None	Bactericerca	None	Description is currently not available	Wikipedia	None	None	None
Bactrocera cucurbitae	Diptera	Tephritidae	Dacinae	Bactrocera	None	Chaetodacus cucurbitae	Wikipedia	None	None	None
Bactrocera dorsalis	Diptera	Tephritidae	Dacinae	Bactrocera	Dacus dorsalis or oriental fruit fly	Bactrocera dorsalis is a species of tephritid fruit fly that is endemic to Southeast Asia. It is one of the major pest species in the genus Bactrocera with a broad host range of cultivated and wild fruits. Male B. dorsalis respond strongly to methyl eugenol, which is used to monitor and estimate populations, as well as to annihilate males as a form of pest control.They are also important pollinators and visitors of wild orchids, Bulbophyllum cheiri and Bulbophyllum vinaceum in Southeast Asia, which lure the flies using methyl eugenol.	U.S. Department of Agriculture@BY	GCA_000789215.2	Scaffold	C:95.9%[S:95.6%,D:0.3%],F:1.2%,M:2.9%,n:1367
Bactrocera minax	Diptera	Tephritidae	Dacinae	Bactrocera	None	Description is currently not available	Wikipedia	None	Scaffold	C:98.9%[S:98.2%,D:0.7%],F:0.7%,M:0.4%,n:1367
Bactrocera oleae	Diptera	Tephritidae	Dacinae	Bactrocera	olive fruit fly	Bactrocera oleae is a species of fruit fly, which belongs to the subfamily Dacinae. It is a phytophagous species, whose larvae feed on the fruit of olive trees, hence the common name. It is considered a serious pest in the cultivation of olives.	Katja Schulz@BY	GCA_001188975.4	Scaffold	C:98.3%[S:97.8%,D:0.5%],F:0.7%,M:1.0%,n:1367
Bactrocera tau	Diptera	Dacinae	None	Bactrocera	None	Zeugodacus tau , the pumpkin fruit fly or the tau fruit fly, is a species of fruit fly in the family Tephritidae. The species is native to tropical and subtropical Asia. It is a major pest species of melons and other cucurbits.	Wikipedia	None	None	None
Bactrocera tryoni	Diptera	Tephritidae	Dacinae	Bactrocera	Queensland fruit fly	Bactrocera tryoni is a species of fly in the family Tephritidae in the insect order Diptera. B. tyroni is native to subtropical coastal Queensland and northern New South Wales. They are active during the day, but mate at night. B. tyroni lay their eggs in fruit.	James Niland@BY	GCA_016617805.2	Chromosome	C:98.5%[S:97.8%,D:0.7%],F:0.5%,M:1.0%,n:1367
Baizongia pistaciae	Hemiptera	Aleyrodidae	Aleyrodinae	Baizongia	None	Description is currently not available	Wikipedia	None	None	None
Bathycoelia distincta	Hemiptera	Pentatomidae	Pentatominae	Bathycoelia	None	Description is currently not available	Wikipedia	None	None	None
