序号	记录类型	分类目	分类科	分类亚科	昆虫名称	共生体分类门	共生体分类目	共生体分类属	共生体分类级别	共生体分类阶元	共生体名称	种类	功能	功能标签	共生体序列数据	参考文献	doi号	期刊	出版年份	备注
41	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Pseudomonadota	Enterobacterales	Providencia	Genus	Providencia	Providencia	Bacteria	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None
42	Symbiont	Diptera	Glossinidae	None	Aldrichina grahami	Bacillota	Lactobacillales	Vagococcus	Genus	Vagococcus	Vagococcus	Bacteria	None	None	None	Effects of Diet on the Gut Bacterial Community of Aldrichina grahami (Diptera: Calliphoridae) across Developmental Stages	10.3390/insects15030181	Insects	2024	None
43	Symbiont	Coleoptera	Cerambycidae	Lamiinae	Anoplophora glabripennis	Ascomycota	Hypocreales	Fusarium	Genus	Fusarium	Fusarium solani	Fungi	weight and head capsule width were higher in larvae fed on F. solani, and gut lignocellulose activities were elevated in fed larvae	Growth and Development,Digestive enzymes	None	Effects of Fusarium solani on the Growth and Development of Anoplophora glabripennis Larvae	10.1007/s00248-023-02332-5	MICROBIAL ECOLOGY	2024	None
44	Symbiont	Blattodea	Ectobiidae	Plectopterinae	Supella longipalpa	Bacteroidota	Flavobacteriales	Blattabacterium	Genus	Blattabacterium	Blattabacterium	Bacteria	Blattabacterium endosymbionts could directly or indirectly influence the composition of other bacterial populations by reducing diversity	None	None	Endosymbiont and gut bacterial communities of the brown-banded cockroach, Supella longipalpa	10.7717/peerj.17095	PEERJ	2024	None
45	Symbiont	Hemiptera	Pseudococcidae	None	Phenacoccus solenopsis	Pseudomonadota	None	Candidatus Tremblaya	Genus	Tremblaya	Tremblaya phenacola	Bacteria	T. phenacola PSOL contributed to high fecundity in P. solenopsis	Fertility	PRJNA550279	Endosymbiont Tremblaya phenacola influences the reproduction of cotton mealybugs by regulating the mechanistic target of rapamycin pathway	10.1093/ismejo/wrae052	The ISME Journal	2024	None
46	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Nilaparvata lugens	Ascomycota	Hypocreales	Hirsutella	Genus	Hirsutella	Hirsutella proturicola	Fungi	None	None	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None
47	Amplicon	Hemiptera	Aleyrodidae	Aleyrodinae	Nilaparvata lugens	None	None	None	None	None	fungal community	Fungi	None	None	SRR26315497-SRR26315600	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None
48	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Nilaparvata lugens	Ascomycota	Hypocreales	Ophiocordyceps	Genus	Ophiocordyceps	Ophiocordyceps heteropoda	Fungi	None	None	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None
49	Symbiont	Hemiptera	Aleyrodidae	Aleyrodinae	Nilaparvata lugens	Ascomycota	Hypocreales	Polycephalomyces	Genus	Polycephalomyces	Polycephalomyces prolificus	Fungi	None	None	None	Endosymbiotic Fungal Diversity and Dynamics of the Brown Planthopper across Developmental Stages, Tissues, and Sexes Revealed Using Circular Consensus Sequencing	10.3390/insects15020087	Insects	2024	None
50	Symbiont	Lepidoptera	Sphingidae	Smerinthinae	Clanis bilineata tsingtauica	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus casseliflavus	Bacteria	regulates amino acid metabolism	None	SRR26926462 -SRR26926470	Enterococcus casseliflavus regulates amino acid metabolism in edible insect Clanis bilineata tsingtauica: a functional metagenomics study	10.3389/fmicb.2024.1343265	FRONTIERS IN MICROBIOLOGY	2024	None
51	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Pseudomonadota	Enterobacterales	Buchnera	Genus	Buchnera	Buchnera aphidicola	Bacteria	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
52	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Bacillota	Lactobacillales	Enterococcus	Genus	Enterococcus	Enterococcus silesiacus	Bacteria	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
53	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Pseudomonadota	Enterobacterales	Morganella	Genus	Morganella	Morganella morganii	Bacteria	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
54	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Chordata	Caudata	Proteus	Genus	Proteus	Cosenzaea myxofaciens	Bacteria	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
55	Symbiont	Diptera	Syrphidae	Syrphinae	Episyrphus balteatus	Pseudomonadota	Enterobacterales	Serratia	Genus	Serratia	Serratia symbiotica	Bacteria	None	None	None	Episyrphus balteatus symbiont variation across developmental stages, living states, two sexes, and potential horizontal transmission from prey or environment	10.3389/fmicb.2023.1308393	FRONTIERS IN MICROBIOLOGY	2024	None
56	Symbiont	Coleoptera	Curculionidae	Scolytinae	Dendroctonus ponderosae	Ascomycota	Ophiostomatales	Grosmannia	Genus	Grosmannia	Grosmannia clavigera	Fungi	fungal pathogenicity likely is more important in aiding MPB colonization and development within the host tree	None	None	Evidence that Ophiostomatoid Fungal Symbionts of Mountain Pine Beetle Do Not Play a Role in Overcoming Lodgepole Pine Defenses During Mass Attack	10.1094/MPMI-06-23-0077-R	MOLECULAR PLANT-MICROBE INTERACTIONS	2024	None
57	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp07	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_037083725.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
58	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp00	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_037083745.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
59	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp04	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_037083765.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
60	Symbiont	Coleoptera	Melyridae	Dasytinae	Danacea nigritarsis GER	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri DngrGER	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041941745.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
61	Symbiont	Coleoptera	Melyridae	Dasytinae	Danacea nigritarsis ITA	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri DngrITA	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041941755.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
62	Symbiont	Coleoptera	Melyridae	Dasytinae	Psilothrix viridicoerulea	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Pvir	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041941765.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
63	Symbiont	Coleoptera	Melyridae	Dasytinae	Listrus sp.	Pseudomonadota	Enterobacterales	Candidatus Dasytiphilus	Genus	Candidatus Dasytiphilus	Candidatus Dasytiphilus stammeri Lsp09	Bacteria	contribution to their hosts is the provisioning of tyrosine for cuticle sclerotization and melanization.	Nutrient provision	GCA_041941775.1	Evolutionary history of tyrosine-supplementing endosymbionts in pollen-feeding beetles.	10.1093/ismejo/wrae080	The ISME Journal	2024	None
