Insect Species	Order	Family	Subfamily	Genus
Anopheles coluzzii	Diptera	Culicidae	Anophelinae	Anopheles
Anopheles gambiae	Diptera	Culicidae	Anophelinae	Anopheles
Anopheles sinensis	Diptera	Culicidae	Anophelinae	Anopheles
Anopheles stephensi	Diptera	Culicidae	Anophelinae	Anopheles
Anoplophora glabripennis	Coleoptera	Cerambycidae	Lamiinae	Anoplophora
Antestiopsis thunbergii	Hemiptera	Pentatomidae	Pentatominae	Antestiopsis
Antheraea assamensis	Lepidoptera	Pyralidae	Galleriinae	Antheraea
Antheraea mylitta	Lepidoptera	Saturniidae	Saturniinae	Antheraea
Anthophora bomboides	Hymenoptera	Apidae	Apinae	Anthophora
Anticarsia gemmatalis	Lepidoptera	Erebidae	Erebinae	Anticarsia
Antonina pretiosa	Hemiptera	Aleyrodidae	Aleyrodinae	Antonina
Aphelinus abdominalis	Hymenoptera	Aphelinidae	Aphelininae	Aphelinus
Aphelinus glycinis	Hymenoptera	Aphelinidae	Aphelininae	Aphelinus
Aphidius colemani	Hymenoptera	Formicidae	Pseudomyrmecinae	Aphidius
Aphis asclepiadis	Hemiptera	Aphididae	Aphidinae	Aphis
Aphis aurantii	Hemiptera	Aphididae	Aphidinae	Aphis
Aphis craccivora	Hemiptera	Aphididae	Aphidinae	Aphis
Aphis fabae	Hemiptera	Aphididae	Aphidinae	Aphis
Aphis glycines	Hemiptera	Aphididae	Aphidinae	Aphis
Aphis gossypii	Hemiptera	Aphididae	Aphidinae	Aphis
Aphis nerii	Hemiptera	Aphididae	Aphidinae	Aphis
Aphytis melinus	Hymenoptera	Aphelinidae	Aphelininae	Aphytis
Apis cerana	Hymenoptera	Apidae	Apinae	Apis
Apis florea	Hymenoptera	Apidae	Apinae	Apis
Apis mellifera	Hymenoptera	Apidae	Apinae	Apis
Apolygus lucorum	Hemiptera	Miridae	Mirinae	Apolygus
Arion ater	Stylommatophora	Arionidae	None	Arion
Armadillidae	Isopoda	Armadillidae	None	Armadillidae
Asobara japonica	Hymenoptera	Braconidae	Alysiinae	Asobara
Asobara tabida	Hymenoptera	Formicidae	Pseudomyrmecinae	Asobara
Aspongopus chinensis	Hemiptera	Dinidoridae	None	Aspongopus
Atractomorpha sinensis	Orthoptera	Pyrgomorphidae	Pyrgomorphinae	Atractomorpha
Atta cephalotes	Hymenoptera	Formicidae	Myrmicinae	Atta
Atta sexdens	Hymenoptera	Formicidae	Myrmicinae	Atta
Bactericera cockerelli	Hemiptera	Triozidae	None	Bactericera
Bactericera trigonica	Hemiptera	Triozidae	None	Bactericera
Bactericerca cockerelli	Hemiptera	Triozidae	None	Bactericerca
Bactrocera cucurbitae	Diptera	Tephritidae	Dacinae	Bactrocera
Bactrocera dorsalis	Diptera	Tephritidae	Dacinae	Bactrocera
Bactrocera minax	Diptera	Tephritidae	Dacinae	Bactrocera
Bactrocera oleae	Diptera	Tephritidae	Dacinae	Bactrocera
Bactrocera tau	Diptera	Dacinae	None	Bactrocera
Bactrocera tryoni	Diptera	Tephritidae	Dacinae	Bactrocera
Baizongia pistaciae	Hemiptera	Aleyrodidae	Aleyrodinae	Baizongia
Bathycoelia distincta	Hemiptera	Pentatomidae	Pentatominae	Bathycoelia
Belgica antarctica	Diptera	Chironomidae	Orthocladiinae	Belgica
Bemisia tabaci	Hemiptera	Aleyrodidae	Aleyrodinae	Bemisia
Blatta orientalis	Blattodea	Blattidae	Blattinae	Blatta
Blattaria	Blattodea	None	None	Blattaria
Blattella germanica	Blattodea	Blattellidae	None	Blattella
Blissus insularis	Hemiptera	Blissidae	None	Blissus
Bombus impatiens	Hymenoptera	Apidae	Apinae	Bombus
Bombus sonorus	Hymenoptera	Apidae	Apinae	Bombus
Bombus sp.	Hymenoptera	Apidae	Apinae	Bombus
Bombus terrestris	Hymenoptera	Apidae	Apinae	Bombus
Bombyx mori	Lepidoptera	Bombycidae	Bombycinae	Bombyx
Brachinus elongatulus	Coleoptera	Carabidae	Brachininae	Brachinus
Brachynema germari	Hemiptera	Pentatomidae	Pentatominae	Brachynema
Brithys crini	Lepidoptera	Noctuidae	Hadeninae	Brithys
Brontispa longissima	Coleoptera	Bostrichidae	Lyctinae	Brontispa
Bryobia graminum	Trombidiformes	Tetranychidae	None	Bryobia
Cacopsylla pyri	Hemiptera	Psyllidae	Psyllinae	Cacopsylla
Cacopsylla pyricola	Hemiptera	Psyllidae	Psyllinae	Cacopsylla
Caenocoris dimidiatus	Hemiptera	Lygaeidae	Lygaeidae	Caenocoris
Callosobruchus chinensis	Coleoptera	Chrysomelidae	Bruchinae	Callosobruchus
Callosobruchus maculatus	Coleoptera	Chrysomelidae	Bruchinae	Callosobruchus
Camponotus floridanus	Hymenoptera	Formicidae	Formicinae	Camponotus
Camponotus japonicus	Hymenoptera	Formicidae	Formicinae	Camponotus
Camponotus pennalicus	Hymenoptera	Formicidae	Formicinae	Camponotus
Cardiocondyla obscurior	Hymenoptera	Formicidae	Myrmicinae	Cardiocondyla
Cassida rubiginosa	Coleoptera	Chrysomelidae	Cassidinae	Cassida
Cavelerius saccharivorus	Hemiptera	Blissidae	None	Cavelerius
Celatoblatta quinquemaculata	Blattodea	Rhinotermitidae	Heterotermitinae	Celatoblatta
Cephalcia chuxiongica	Hymenoptera	Pamphiliidae	Cephalciinae	Cephalcia
Cephalotes sp.	Hymenoptera	Formicidae	Myrmicinae	Cephalotes
Cephalotes rohweri	Hymenoptera	Formicidae	Myrmicinae	Cephalotes
Cephalotes varians	Hymenoptera	Formicidae	Myrmicinae	Cephalotes
Cephus cinctus	Hymenoptera	Cephidae	None	Cephus
Ceratitis capitata	Diptera	Tephritidae	Dacinae	Ceratitis
Ceratovacuna keduensis	Hemiptera	Aleyrodidae	Aleyrodinae	Ceratovacuna
Ceroplastes japonicus	Hemiptera	Coccidae	None	Ceroplastes
Chauliops fallax	Hemiptera	Malcidae	Malcidae	Chauliops
Chelymorpha alternans	Coleoptera	Chrysomelidae	Cassidinae	Chelymorpha
Chilacis typhae	Hemiptera	Artheneidae	None	Chilacis
Chilo suppressalis	Lepidoptera	Crambidae	Crambinae	Chilo
Chironomus ramosus	Diptera	Chironomidae	Chironominae	Chironomus
Chironomus transvaalensis	Diptera	Chironomidae	Chironominae	Chironomus
Chrysomya megacephala	Diptera	Calliphoridae	Chrysomyinae	Chrysomya
Chrysoperla carnea	Neuroptera	Chrysopidae	Chrysopinae	Chrysoperla
Cicadella viridis	Hemiptera	Cicadellidae	Cicadellinae	Cicadella
Cimex hemipterus	Hemiptera	Cimicidae	None	Cimex
Cimex lectularius	Hemiptera	Cimicidae	None	Cimex
Cinara cedri	Hemiptera	Aphididae	Lachninae	Cinara
Cinara cuneomaculata	Hemiptera	Aphididae	Lachninae	Cinara
Cinara strobi	Hemiptera	Aphididae	Lachninae	Cinara
Cinara tujafilina	Hemiptera	Aphididae	Lachninae	Cinara
Circulifer tenellus	Hemiptera	Cicadellidae	Deltocephalinae	Circulifer
Clanis bilineata tsingtauica	Lepidoptera	Sphingidae	Smerinthinae	Clanis
Clastoptera arizonana	Hemiptera	Clastopteridae	None	Clastoptera
Cleonus trivittatus	Coleoptera	Curculionidae	None	Cleonus
Cletus punctigerr	Hemiptera	Coreidae	None	Cletus
Cletus rusticus	Hemiptera	Coreidae	None	Cletus
Cletus trigonus	Hemiptera	Coreidae	None	Cletus
Cnaphalocrocis medinalis	Lepidoptera	Crambidae	Pyraustinae	Cnaphalocrocis
Coccinella septempunctata	Coleoptera	Coccinellidae	Coccinellinae	Coccinella
Coccotrypes dactyliperda	Coleoptera	Curculionidae	Scolytinae	Coccotrypes
Cochliomyia hominivorax	Diptera	Calliphoridae	Chrysomyinae	Cochliomyia
Colladonus geminatus	Hemiptera	Cicadellidae	Deltocephalinae	Colladonus
Colladonus montanus reductus	Hemiptera	Cicadellidae	Deltocephalinae	Colladonus
Columbicola wolffhuegeli	Phthiraptera	Philopteridae	None	Columbicola
Comidoblemmus nipponensis	Orthoptera	Gryllidae	Gryllinae	Comidoblemmus
Conorhynchus palumbus	Coleoptera	Curculionidae	Lixinae	Conorhynchus
Copris incertus	Coleoptera	Scarabaeidae	Scarabaeinae	Copris
Copris tripartitus	Coleoptera	Scarabaeidae	Scarabaeinae	Copris
Coptotermes sp.	Blattodea	Rhinotermitidae	Coptotermitinae	Coptotermes
Coptotermes formosanus	Blattodea	Rhinotermitidae	Coptotermitinae	Coptotermes
Coptotermes gestroi	Blattodea	Rhinotermitidae	Heterotermitinae	Coptotermes
Corcyra cephalonica	Lepidoptera	Pyralidae	Galleriinae	Corcyra
Corydidarum magnifica	Blattodea	Blaberidae	Perisphaerinae	Corydidarum
Cossus cossus	Lepidoptera	Pyralidae	Galleriinae	Cossus
Costelytra zealandica	Coleoptera	Scarabaeidae	Melolonthinae	Costelytra
Cotesia sesamiae	Hymenoptera	Braconidae	Microgastrinae	Cotesia
Cryptocephalus marginellus	Coleoptera	Chrysomelidae	Cryptocephalinae	Cryptocephalus
Cryptocercus punctulatus	Blattodea	Cryptocercidae	None	Cryptocercus
Cryptolestes ferrugineus	Coleoptera	Laemophloeidae	None	Cryptolestes
Culex pipiens	Diptera	Culicidae	Culicinae	Culex
Culex quinquefasciatus	Diptera	Culicidae	Culicinae	Culex
Culicoides impunctatus	Diptera	Ceratopogonidae	Ceratopogoninae	Culicoides
Curculio camelliae	Coleoptera	Curculionidae	Curculioninae	Curculio
Curculio chinensis	Coleoptera	Curculionidae	Cryptorhynchinae	Curculio
Curculio dentipes	Coleoptera	Curculionidae	Curculioninae	Curculio
Curculio elephas	Coleoptera	Curculionidae	Curculioninae	Curculio
Curculio glandium	Coleoptera	Curculionidae	Curculioninae	Curculio
Curculio pellitus	Coleoptera	Curculionidae	Curculioninae	Curculio
Curculio robustus	Coleoptera	Curculionidae	Curculioninae	Curculio
Curculio sikkimensis	Coleoptera	Curculionidae	Curculioninae	Curculio
Curculio venosus	Coleoptera	Curculionidae	Curculioninae	Curculio
Cydia pomonella	Lepidoptera	Pyralidae	Galleriinae	Cydia
Cyrtotrachelus buqueti	Coleoptera	Curculionidae	Dryophthorinae	Cyrtotrachelus
Daclera levana	Hemiptera	Alydidae	None	Daclera
Dactylopius ceylonicus	Hemiptera	Dactylopiidae	None	Dactylopius
Dactylopius coccus	Hemiptera	Dactylopiidae	None	Dactylopius
Dactylopius confusus	Hemiptera	Dactylopiidae	None	Dactylopius
Dactylopius opuntiae	Hemiptera	Dactylopiidae	None	Dactylopius
Daktulosphaira vitifoliae	Hemiptera	Phylloxeridae	None	Daktulosphaira
Danacea nigritarsis	Coleoptera	Melyridae	Dasytinae	Danacea
Dasynus coccocinctus	Hemiptera	Coreidae	None	Dasynus
Dasytes aeratus	Coleoptera	Melyridae	Dasytinae	Dasytes
Dasytes alpigradus	Coleoptera	Melyridae	Dasytinae	Dasytes
Dasytes lineellus	Coleoptera	Melyridae	Dasytinae	Dasytes
Dasytes plumbeus	Coleoptera	Melyridae	Dasytinae	Dasytes
Dasytes seminudus	Coleoptera	Melyridae	Dasytinae	Dasytes
Dasytes virens	Coleoptera	Melyridae	Dasytinae	Dasytes
Delia antiqua	Diptera	Anthomyiidae	Anthomyiinae	Delia
Delia lupini	Diptera	Anthomyiidae	Anthomyiinae	Delia
Delia radicum	Diptera	Anthomyiidae	Anthomyiinae	Delia
Dendroctonus adjunctus	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Dendroctonus armandi	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Dendroctonus frontalis	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Dendroctonus micans	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Dendroctonus ponderosae	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Dendroctonus rhizophagus	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Dendroctonus rufipennis	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Dendroctonus simplex	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Dendroctonus valens	Coleoptera	Curculionidae	Scolytinae	Dendroctonus
Diabrotica speciosa	Coleoptera	Chrysomelidae	Galerucinae	Diabrotica
Diabrotica virgifera	Coleoptera	Chrysomelidae	Galerucinae	Diabrotica
Diabrotica virgifera virgifera	Coleoptera	Chrysomelidae	Galerucinae	Diabrotica
Dianemobius sp.	Orthoptera	Trigonidiidae	Nemobiinae	Dianemobius
Diapherodes gigantea	Phasmatodea	Phasmatidae	Cladomorphinae	Diapherodes
Diaphorina citri	Hemiptera	Psyllidae	Diaphorininae	Diaphorina
Diatraea saccharalis	Lepidoptera	Crambidae	Crambinae	Diatraea
Diceroprocta semicincta	Hemiptera	Cicadidae	Cicadinae	Diceroprocta
Dimorphopterus pallipes	Hemiptera	Lygaeidae	Blissidae	Dimorphopterus
Diuraphis noxia	Hemiptera	Aphididae	Aphidinae	Diuraphis
Dolichoderus	Hymenoptera	Formicidae	Dolichoderinae	Dolichoderus
Dolycoris baccarum	Hemiptera	Pentatomidae	Pentatominae	Dolycoris
Donacia bicoloricornis	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia cincticornis	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia cinerea	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia clavipes	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia crassipes	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia dentata	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia fulgens	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia marginata	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia piscatrix	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia provostii	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia proxima	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia semicuprea	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia simplex	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia sparganii	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia thalassina	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia tomentosa	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia versicolorea	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Donacia vulgaris	Coleoptera	Chrysomelidae	Donaciinae	Donacia
Dorcus hopei hopei	Coleoptera	Lucanidae	Lucaninae	Dorcus
Doubledaya bucculenta	Coleoptera	Erotylidae	Languriinae	Doubledaya
Drosophila hydei	Diptera	Drosophilidae	Drosophilinae	Drosophila
Drosophila melanogaster	Diptera	Drosophilidae	Drosophilinae	Drosophila
Drosophila neotestacea	Diptera	Glossinidae	None	Drosophila
Drosophila nigrospiracula	Diptera	Drosophilidae	Drosophilinae	Drosophila
Drosophila simulans	Diptera	Drosophilidae	Drosophilinae	Drosophila
Drosophila suzukii	Diptera	Drosophilidae	Drosophilinae	Drosophila
Drosophila melanogaster	Diptera	Drosophilidae	Drosophilinae	Drosophila
Dryocosmus kuriphilus	Hymenoptera	Formicidae	Pseudomyrmecinae	Dryocosmus
Dysdercus fasciatus	Hemiptera	Pyrrhocoridae	None	Dysdercus
Dysmicoccus brevipes	Hemiptera	Pseudococcidae	None	Dysmicoccus
Ecitomorpha arachnoides	Coleoptera	Staphylinidae	Aleocharinae	Ecitomorpha
Edessa sp.	Hemiptera	Pentatomidae	Edessinae	Edessa
Eldana saccharina	Lepidoptera	Pyralidae	Galleriinae	Eldana
Ellychnia corrusca	Coleoptera	Lampyridae	Lampyrinae	Ellychnia
Encarsia berlesei	Hymenoptera	Formicidae	Pseudomyrmecinae	Encarsia
Encarsia citrina	Hymenoptera	Formicidae	Pseudomyrmecinae	Encarsia
Encarsia formosa	Hymenoptera	Aphelinidae	Coccophaginae	Encarsia
Encarsia hispida	Hymenoptera	Formicidae	Pseudomyrmecinae	Encarsia
Encarsia inaron	Hymenoptera	Aphelinidae	Coccophaginae	Encarsia
Encarsia pergandiella	Hymenoptera	Aphelinidae	Coccophaginae	Encarsia
Endoclita signifer	Lepidoptera	Pyralidae	Galleriinae	Endoclita
Ensifera	Orthoptera	None	None	Ensifera
Ephestia kuehniella	Lepidoptera	Pyralidae	Phycitinae	Ephestia
Epibolus pulchripes	Spirobolida	Pachybolidae	None	Epibolus
Epiphyas postvittana	Lepidoptera	Pyralidae	Galleriinae	Epiphyas
Episyrphus balteatus	Diptera	Syrphidae	Syrphinae	Episyrphus
Ericerus pela	Hemiptera	Coccidae	None	Ericerus
Eriopis connexa	Coleoptera	Coccinellidae	Coccinellinae	Eriopis
Euchloe hecabe	Lepidoptera	Pieridae	Pierinae	Euchloe
Eumaeus atala	Lepidoptera	Lycaenidae	Theclinae	Eumaeus
Eumenes decorates	Hymenoptera	Vespidae	Eumeninae	Eumenes
Euops chinensis	Coleoptera	Attelabidae	Attelabinae	Euops
Eurema hecabe	Lepidoptera	Pieridae	Coliadinae	Eurema
Eurema mandarina	Lepidoptera	Pieridae	Coliadinae	Eurema
Eurhizococcus brasiliensis	Hemiptera	Margarodidae	None	Eurhizococcus
Eurosta solidaginis	Diptera	Tephritidae	Tephritinae	Eurosta
Eurygaster integriceps	Hemiptera	Scutelleridae	Eurygastrinae	Eurygaster
Euscelidius variegatus	Hemiptera	Cicadellidae	Deltocephalinae	Euscelidius
Euscepes postfasciatus	Coleoptera	Curculionidae	Dryophthorinae	Euscepes
Euschistus heros	Hemiptera	Pentatomidae	Pentatominae	Euschistus
Euwallacea fornicatus	Coleoptera	Curculionidae	Scolytinae	Euwallacea
Euwallacea perbrevis	Coleoptera	Curculionidae	Scolytinae	Euwallacea
Exorista sorbillans	Diptera	Tachinidae	Exoristinae	Exorista
Eysarcoris ventralis	Hemiptera	Pentatomidae	Pentatominae	Eysarcoris
Ferrisia virgata	Hemiptera	Aleyrodidae	Aleyrodinae	Ferrisia
Folsomia candida	Entomobryomorpha	Isotomidae	Proisotominae	Folsomia
Formica exsecta	Hymenoptera	Formicidae	Formicinae	Formica
Fragariocoptes setiger	Trombidiformes	Phytoptidae	None	Fragariocoptes
Frankliniella intonsa	Thysanoptera	Thripidae	Thripinae	Frankliniella
Frankliniella occidentalis	Thysanoptera	Thripidae	Thripinae	Frankliniella
Franklinothrips vespiformis	Thysanoptera	Aeolothripidae	None	Franklinothrips
Galleria mellonella	Lepidoptera	Pyralidae	Galleriinae	Galleria
Gampsocleis gratiosa	Orthoptera	Anostostomatidae	Deinacridinae	Gampsocleis
Geocoris proteus	Hemiptera	Lygaeidae	Geocoridae	Geocoris
Georgecraigius atropalpus	Diptera	Glossinidae	None	Georgecraigius
Globitermes sulphureus	Blattodea	Termitidae	Termitinae	Globitermes
Glomeris connexa	Glomerida	Glomeridae	None	Glomeris
Glossina brevipalpis	Diptera	Glossinidae	None	Glossina
Glossina fuscipes fuscipes	Diptera	Glossinidae	None	Glossina
Glossina morsitans	Diptera	Glossinidae	None	Glossina
Glossina morsitans morsitans	Diptera	Glossinidae	None	Glossina
Glossina mortisans submortisans	Diptera	Glossinidae	None	Glossina
Glossina palpalis	Diptera	Glossinidae	None	Glossina
Glossina sp.	Diptera	Glossinidae	Glossina	Glossina
Gnoriste bilineata	Diptera	Mycetophilidae	Gnoristinae	Gnoriste
Gonipterus platensis	Coleoptera	Curculionidae	Gonipterinae	Gonipterus
Gossyparia spuria	Hemiptera	Eriococcidae	None	Gossyparia
Graphium doson	Lepidoptera	Papilionidae	Papilioninae	Graphium
Graphocephala atropunctata	Hemiptera	Cicadellidae	Cicadellinae	Graphocephala
Graphocephala coccinea	Hemiptera	Cicadellidae	Cicadellinae	Graphocephala
Grapholita molesta	Lepidoptera	Tortricidae	Olethreutinae	Grapholita
Graphosoma Lineatum	Hemiptera	Pentatomidae	Podopinae	Graphosoma
Graptostethus servus	Hemiptera	Lygaeidae	Lygaeidae	Graptostethus
Greenisca brachypodii	Hemiptera	Eriococcidae	None	Greenisca
Habrobracon hebetor	Hymenoptera	Braconidae	Braconinae	Habrobracon
Halyomorpha halys	Hemiptera	Pentatomidae	Pentatominae	Halyomorpha
Harmonia axyridis	Coleoptera	Coccinellidae	Coccinellinae	Harmonia
Harpalus pensylvanicus	Coleoptera	Carabidae	Harpalinae	Harpalus
Harpalus sinicus	Coleoptera	Carabidae	Harpalinae	Harpalus
Heliconius erato	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius
Heliconius sp.	Lepidoptera	Nymphalidae	Heliconiinae	Heliconius
Helicoverpa armigera	Lepidoptera	Noctuidae	Heliothinae	Helicoverpa
Helicoverpa zea	Lepidoptera	Noctuidae	Heliothinae	Helicoverpa
Hemideina maori	Orthoptera	Anostostomatidae	Deinacridinae	Hemideina
Henosepilachna vigintioctopunctata	Coleoptera	Coccinellidae	Epilachninae	Henosepilachna
Hermetia illucens	Diptera	Stratiomyidae	Hermetiinae	Hermetia
Heterapoderopsis bicallosicollis	Coleoptera	Attelabidae	None	Heterapoderopsis
Heterelmis comalensis	Coleoptera	Elmidae	Elminae	Heterelmis
Hierodula patellifera	Mantodea	Mantidae	Hierodulinae	Hierodula
Hishimonoides sellatiformis	Hemiptera	Cicadellidae	Deltocephalinae	Hishimonoides
Hishimonus sellatus	Hemiptera	Cicadellidae	Deltocephalinae	Hishimonus
Homalodisca vitripennis	Hemiptera	Cicadellidae	Cicadellinae	Homalodisca
Homalotylus sp.	Hymenoptera	Encyrtidae	Encyrtinae	Homalotylus
Homoeocerus dilatatus	Hemiptera	Coreidae	None	Homoeocerus
Homoeocerus marginiventris	Hemiptera	Coreidae	None	Homoeocerus
Homoeocerus unipunctatus	Hemiptera	Coreidae	None	Homoeocerus
Homona magnanima	Lepidoptera	Tortricidae	Tortricinae	Homona
Hoplothrips carpathicus	Thysanoptera	Phlaeothripidae	Phlaeothripinae	Hoplothrips
Horridipamera inconspicua	Hemiptera	Rhyparochromidae	None	Horridipamera
Horridipamera nietneri	Hemiptera	Rhyparochromidae	None	Horridipamera
Hyalesthes obsoletus	Hemiptera	Cixiidae	None	Hyalesthes
Hygia lativentris	Hemiptera	Coreidae	None	Hygia
Hygia opaca	Hemiptera	Coreidae	None	Hygia
Hyles euphorbiae	Lepidoptera	Pyralidae	Galleriinae	Hyles
Hylobius abietis	Coleoptera	Curculionidae	Molytinae	Hylobius
Hypera postica	Coleoptera	Bostrichidae	Lyctinae	Hypera
Hyphantria cunea	Lepidoptera	Erebidae	Arctiinae	Hyphantria
Hypolimnas bolina	Lepidoptera	Nymphalidae	Nymphalinae	Hypolimnas
Hypothenemus hampei	Coleoptera	Curculionidae	Scolytinae	Hypothenemus
Ibalia leucospoides	Hymenoptera	Ibaliidae	None	Ibalia
Icerya aegyptiaca	Hemiptera	Monophlebidae	None	Icerya
Icosta americana	Diptera	Hippoboscidae	Ornithomyinae	Icosta
Ips paraconfusus	Coleoptera	Curculionidae	Scolytinae	Ips
Ips pini	Coleoptera	Curculionidae	Scolytinae	Ips
Ips sp.	Coleoptera	Curculionidae	Scolytinae	Ips
Ips typographus	Coleoptera	Curculionidae	Scolytinae	Ips
Ischnura elegans	Odonata	Coenagrionidae	None	Ischnura
Jalysus wickhami	Hemiptera	Berytidae	None	Jalysus
Kaburagia rhusicola	Hemiptera	Aphididae	Eriosomatinae	Kaburagia
Karenia caelatata	Hemiptera	Cicadidae	Cicadettinae	Karenia
Kerria lacca	Hemiptera	Tachardiidae	None	Kerria
Kleidocerys resedae	Hemiptera	Lygaeidae	Ischnorhynchinae	Kleidocerys
Labidopullus appendiculatus	Coleoptera	Staphylinidae	Aleocharinae	Labidopullus
Lagria hirta	Coleoptera	Tenebrionidae	Lagriinae	Lagria
Lagria villosa	Coleoptera	Tenebrionidae	Lagriinae	Lagria
Laodelphax striatellus	Hemiptera	Delphacidae	Criomorphinae	Laodelphax
Lariophagus distinguendus	Hymenoptera	Pteromalidae	Pteromalinae	Lariophagus
Lasioderma serricorne	Coleoptera	Ptinidae	Xyletininae	Lasioderma
Ledra auditura	Hemiptera	Cicadellidae	Ledrinae	Ledra
Ledropsis discolor	Hemiptera	Cicadellidae	Ledrinae	Ledropsis
Lepidiota mansueta	Coleoptera	Scarabaeidae	Melolonthinae	Lepidiota
