ID	Run	Assay Type	BioSample	Bytes	Center Name	Instrument	LibraryLayout	LibrarySelection	Platform	BioProject	geo_loc_name_country	geo_loc_name_country_continent	Collection_Date	geo_loc_name	BioSampleModel	lat_lon	Host	Host Order	Host Family	Isolation	Description	Doi
11	SRR12668450	WGS	SAMN16178243	31983396	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
12	SRR12668451	WGS	SAMN16178241	55366725	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
13	SRR12668452	WGS	SAMN16178239	57448686	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
14	SRR12668453	WGS	SAMN16178167	46411560	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
15	SRR12668454	WGS	SAMN16178237	36587338	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
16	SRR12668455	WGS	SAMN16178235	19127291	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
17	SRR12668456	WGS	SAMN16178233	17912096	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
18	SRR12668457	WGS	SAMN16178231	6847961	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
19	SRR12668458	WGS	SAMN16178229	31700519	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
20	SRR12668459	WGS	SAMN16178225	37085222	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
21	SRR12668460	WGS	SAMN16178227	11898174	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
22	SRR12668461	WGS	SAMN16178223	1191402	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
23	SRR12668462	WGS	SAMN16178221	6370505	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
24	SRR12668463	WGS	SAMN16178219	51721133	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
25	SRR12668464	WGS	SAMN16178165	43309024	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
26	SRR12668465	WGS	SAMN16178217	22731123	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
27	SRR12668466	WGS	SAMN16178215	1273419938	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
28	SRR12668467	WGS	SAMN16178213	29415130	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
29	SRR12668468	WGS	SAMN16178211	4165690	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
30	SRR12668469	WGS	SAMN16178209	734323	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
31	SRR12668470	WGS	SAMN16178205	1062037	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
32	SRR12668471	WGS	SAMN16178207	22539534	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
33	SRR12668472	WGS	SAMN16178203	22974495	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
34	SRR12668473	WGS	SAMN16178201	882015	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
35	SRR12668474	WGS	SAMN16178199	1696716	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
36	SRR12668475	WGS	SAMN16178163	45071168	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
37	SRR12668476	WGS	SAMN16178197	97202918	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
38	SRR12668477	WGS	SAMN16178195	6733518	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
39	SRR12668478	WGS	SAMN16178193	52860093	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
40	SRR12668479	WGS	SAMN16178191	56746367	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
41	SRR12668480	WGS	SAMN16178189	7443889	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
42	SRR12668481	WGS	SAMN16178185	89106488	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
43	SRR12668482	WGS	SAMN16178187	45966782	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
44	SRR12668483	WGS	SAMN16178183	39932322	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
45	SRR12668484	WGS	SAMN16178181	49478151	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
46	SRR12668485	WGS	SAMN16178371	58561224	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
47	SRR12668486	WGS	SAMN16178369	33593821	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
48	SRR12668487	WGS	SAMN16178367	3904036	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
49	SRR12668488	WGS	SAMN16178365	41151763	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
50	SRR12668489	WGS	SAMN16178363	30015657	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
51	SRR12668490	WGS	SAMN16178361	487536133	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
52	SRR12668491	WGS	SAMN16178359	29945191	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-07-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
53	SRR12668492	WGS	SAMN16178179	59154677	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
54	SRR12668493	WGS	SAMN16178161	70587714	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
55	SRR12668494	WGS	SAMN16178357	22258941	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
56	SRR12668495	WGS	SAMN16178355	340106	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
57	SRR12668496	WGS	SAMN16178353	71257744	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
58	SRR12668497	WGS	SAMN16178351	86672591	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
59	SRR12668498	WGS	SAMN16178349	75936280	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
60	SRR12668499	WGS	SAMN16178345	48094226	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
61	SRR12668500	WGS	SAMN16178347	84069183	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
62	SRR12668501	WGS	SAMN16178343	33875527	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
63	SRR12668502	WGS	SAMN16178341	84213032	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
64	SRR12668503	WGS	SAMN16178339	67440174	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
65	SRR12668504	WGS	SAMN16178177	49867756	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
66	SRR12668505	WGS	SAMN16178337	55920261	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
67	SRR12668507	WGS	SAMN16178333	73172106	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
68	SRR12668508	WGS	SAMN16178331	62890713	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
69	SRR12668509	WGS	SAMN16178329	29011665	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
70	SRR12668510	WGS	SAMN16178327	5982630	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
71	SRR12668511	WGS	SAMN16178325	2323854	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
72	SRR12668512	WGS	SAMN16178323	39270685	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
73	SRR12668513	WGS	SAMN16178321	13556003	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
74	SRR12668514	WGS	SAMN16178319	29916136	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
75	SRR12668515	WGS	SAMN16178175	51142649	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-02-05	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
76	SRR12668516	WGS	SAMN16178317	145985214	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
77	SRR12668517	WGS	SAMN16178315	10073570	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
78	SRR12668518	WGS	SAMN16178313	49572859	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
79	SRR12668519	WGS	SAMN16178311	40944282	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2017-08-12	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
80	SRR12668520	WGS	SAMN16178309	84731724	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-08-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
81	SRR12668521	WGS	SAMN16178307	66323621	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-08-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
82	SRR12668522	WGS	SAMN16178305	80731364	NATIONAL CENTER FOR BIOLOGICAL SCIENCES	Illumina MiSeq	PAIRED	PCR	ILLUMINA	PRJNA663749	India	Asia	2018-08-24	India:Bangalore	Metagenome or environmental	12.9716 N 77.5946 E	Tribolium castaneum	Coleoptera	Tenebrionidae	None	None	None
