ID	Title	Authors	doi	Journal	Publish Time	Species	Symbiont
20	A molecular survey of Australian and North American termite genera indicates that vertical inheritance is the primary force shaping termite gut microbiomes	Rahman, NA; Parks, DH; Willner, DL; Engelbrektson, AL; Goffredi, SK; Warnecke, F; Scheffrahn, RH; Hugenholtz, P	10.1186/s40168-015-0067-8	MICROBIOME	2015	Australian and North American termite genera	termite gut microbiom
21	A mucin protein predominantly expressed in the female-specific symbiotic organ of the stinkbug Plautia stali	Moriyama, M; Hayashi, T; Fukatsu, T	10.1038/s41598-022-11895-1	SCIENTIFIC REPORTS	2022	Plautia stali	Pantoea
22	A New Albomycin-Producing Strain of Streptomyces globisporus subsp. globisporus May Provide Protection for Ants Messor structor	Zakalyukina, YV; Pavlov, NA; Lukianov, DA; Marina, VI; Belozerova, OA; Tashlitsky, VN; Guglya, EB; Osterman, IA; Biryukov, MV	10.3390/insects13111042	Insects	2022	Messor structor	Streptomyces globisporus
23	A new gene from Xenorhabdus bovienii and its encoded protease inhibitor protein against Acyrthosiphon pisum	Zeng, FR; Xue, RF; Zhang, HQ; Jiang, TZ	10.1002/ps.3299	PEST MANAGEMENT SCIENCE	2012	Acyrthosiphon pisum	Xenorhabdus bovienii
24	A new Huanglongbing Species, "Candidatus Liberibacter psyllaurous," found to infect tomato and potato, is vectored by the psyllid Bactericera cockerelli (Sulc)	Hansen, A. K.; Trumble, J. T.; Stouthamer, R.; Paine, T. D.	10.1128/AEM.01268-08	Applied and Environmental Microbiology	2008	Bactericera cockerelli	Candidatus liberibacter Psyllaurous
25	A newly discovered bacterium associated with parthenogenesis and a change in host selection behavior in parasitoid wasps	Zchori-Fein, E; Gottlieb, Y; Kelly, SE; Brown, JK; Wilson, JM; Karr, TL; Hunter, MS	10.1073/pnas.221467498	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2001	Encarsia pergandiella	Encarsia bacterium
26	A newly recorded Rickettsia of the Torix group is a recent intruder and an endosymbiont in the whitefly Bemisia tabaci	Wang, HL; Lei, T; Wang, XW; Maruthi, MN; Zhu, DT; Cameron, SL; Rao, Q; Shan, HW; Colvin, J; Liu, YQ; Liu, SS	10.1111/1462-2920.14927	ENVIRONMENTAL MICROBIOLOGY	2020	Bemisia tabaci	Candidatus Rickettsia_Torix_Bemisia_tabaci
27	A novel bacterial symbiont association in the hispid beetle, Octodonta nipae (Coleoptera: Chrysomelidae), their dynamics and phylogeny	Ali, H; Muhammad, A; Ul Islam, S; Islam, W; Hou, YM	10.1016/j.micpath.2018.03.046	MICROBIAL PATHOGENESIS	2018	Octodonta nipae	Wolbachia
28	A novel Bacteroidetes symbiont is localized in Scaphoideus titanus, the insect vector of Flavescence dorée in Vitis vinifera	Marzorati, M; Alma, A; Sacchi, L; Pajoro, M; Palermo, S; Brusetti, L; Raddadi, N; Balloi, A; Tedeschi, R; Clementi, E; Corona, S; Quaglino, F; Bianco, PA; Beninati, T; Bandi, C; Daffonchio, D	10.1128/AEM.72.2.1467-1475.2006	Applied and Environmental Microbiology	2006	Scaphoideus titanus	Candidatus Cardinium hertigii
29	A novel intracellular mutualistic bacterium in the invasive ant Cardiocondyla obscurior	Klein, A; Schrader, L; Gil, R; Manzano-Marín, A; Flórez, L; Wheeler, D; Werren, JH; Latorre, A; Heinze, J; Kaltenpoth, M; Moya, A; Oettler, J	10.1038/ismej.2015.119	The ISME Journal	2016	Cardiocondyla obscurior	Candidatus Westeberhardia cardiocondylae
30	A Novel Nitrogen-Fixing Bacterium Raoultella electrica Isolated from the Midgut of the Leafhopper Recilia dorsalis	Huang, QY; Feng, YL; Shan, HW; Chen, JP; Wu, W	10.3390/insects14050431	Insects	2023	Recilia dorsalis	Klebsiella electrica
31	A novel Wolbachia strain from the rice moth Corcyra cephalonica induces reproductive incompatibility in the whitefly Bemisia tabaci: sequence typing combined with phenotypic evidence	Hong-Yan Hu, Zheng-Xi Li	10.1111/1758-2229.12279	Environmental Microbiology Reports	2015	Corcyra cephalonica	Wolbachia wCcep
32	A Novel, Extremely Elongated, and Endocellular Bacterial Symbiont Supports Cuticle Formation of a Grain Pest Beetle	Hirota, B; Okude, G; Anbutsu, H; Futahashi, R; Moriyama, M; Meng, XY; Nikoh, N; Koga, R; Fukatsu, T	10.1128/mbio.01482-17	MBIO	2017	Philaenus spumarius	Bacteroidia
33	A polyketide synthase-peptide synthetase gene cluster from an uncultured bacterial symbiont of Paederus beetles	Piel, Jörn	10.1073/pnas.222481399	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2002	Multiple species	Pseudomonas spp.
34	A polystyrene-degrading Acinetobacter bacterium isolated from the larvae of Tribolium castaneum	Wang, Z; Xin, X; Shi, XF; Zhang, YL	10.1016/j.scitotenv.2020.138564	SCIENCE OF THE TOTAL ENVIRONMENT	2020	Tribolium castaneum	Acinetobacter sp. AnTc-1
35	A possibly new Rickettsia-like genus symbiont is found in Chinese wheat pest aphid, Sitobion miscanthi (Hemiptera: Aphididae)	Li, T; Xiao, JH; Xu, ZH; Murphy, RW; Huang, DW	10.1016/j.jip.2010.12.003	JOURNAL OF INVERTEBRATE PATHOLOGY	2011	Sitobion miscanthi	S. miscanthi L type symbiont
36	A proteomic approach reveals possible molecular mechanisms and roles for endosymbiotic bacteria in begomovirus transmission by whiteflies	Kliot, A; Johnson, RS; MacCoss, MJ; Kontsedalov, S; Lebedev, G; Czosnek, H; Heck, M; Ghanim, M	10.1093/gigascience/giaa124	GIGASCIENCE	2020	Bemisia tabaci	Rickettsia
37	A rapidly spreading deleterious aphid endosymbiont that uses horizontal as well as vertical transmission	Gu, XY; Ross, PA; Gill, A; Yang, Q; Ansermin, E; Sharma, S; Soleimannejad, S; Sharma, K; Callahan, A; Brown, C; Umina, PA; Kristensen, TN; Hoffmann, AA	10.1073/pnas.2217278120	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2023	Myzus persicae	Rickettsiella
38	A ribosome-inactivating protein in a Drosophila defensive symbiont	Hamilton, PT; Peng, FN; Boulanger, MJ; Perlman, SJ	10.1073/pnas.1518648113	Proceedings of the National Academy of Sciences of the United States of America	2016	Drosophila neotestacea	Spiroplasma
39	A simple and distinctive microbiota associated withhoney bees and bumble bees	Martinson, VG; Danforth, BN; Minckley, RL; Rueppell, O; Tingek, S; Moran, NA	10.1111/j.1365-294X.2010.04959.x	Molecular Ecology	2010	Apis mellifera	Burkholderia cepacia
40	A single Streptomyces symbiont makes multiple antifungals to support the fungus farming ant Acromyrmex octospinosus	Seipke, Ryan F.; Barke, Jörg; Brearley, Charles; Hill, Lionel; Yu, Douglas W.; Goss, Rebecca J. M.; Hutchings, Matthew I.	10.1371/journal.pone.0022028	PLoS ONE	2011	Acromyrmex octospinosus	Streptomyces sp.
41	A single Photorhabdus gene, makes caterpillars floppy (mcf), allows Escherichia coli to persist within and kill insects	Daborn, PJ; Waterfield, N; Silva, CP; Au, CPY; Sharma, S; Ffrench-Constant, RH	10.1073/pnas.102068099	Proceedings of the National Academy of Sciences	2002	Manduca sexta	Photorhabdus luminescens
42	A soil fungus confers plant resistance against a phytophagous insect by disrupting the symbiotic role of its gut microbiota	Di Lelio, I; Forni, G; Magoga, G; Brunetti, M; Bruno, D; Becchimanzi, A; Luca, MGD; Sinno, M; Barra, E; Bonelli, M; Frusciante, S; Diretto, G; Digilio, MC; Woo, SL; Tettamanti, G; Rao, RS; Lorito, M; Casartelli, M; Montagna, M; Pennacchio, F	10.1073/pnas.2216922120	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2023	Spodoptera littoralis	gut bacteria
43	A Study on Symbiotic Systems of Cicadas Provides New Insights into Distribution of Microbial Symbionts and Improves Fluorescence In Situ Hybridization Technique	Huang, Z; Zhou, JR; Zhang, ZJ; He, H; Wei, C	10.3390/ijms24032434	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2023	Karenia caelatata	Candidatus Sulcia muelleri
44	A Wolbachia symbiont in Aedes aegypti limits infection with dengue, Chikungunya, and Plasmodium	Moreira, LA; Iturbe-Ormaetxe, I; Jeffery, JA; Lu, GJ; Pyke, AT; Hedges, LM; Rocha, BC; Hall-Mendelin, S; Day, A; Riegler, M; Hugo, LE; Johnson, KN; Kay, BH; McGraw, EA; van den Hurk, AF; Ryan, PA; O'Neill, SL	10.1016/j.cell.2009.11.042	CELL	2009	Aedes aegypti	Wolbachia
45	A Wolbachia factor for male killing in lepidopteran insects	Katsuma, S; Hirota, K; Matsuda-Imai, N; Fukui, T; Muro, T; Nishino, K; Kosako, H; Shoji, K; Takanashi, H; Fujii, T; Arimura, SI; Kiuchi, T	10.1038/s41467-022-34488-y	NATURE COMMUNICATIONS	2022	Ostrinia furnacalis	Wolbachia wFur
46	Absence of microbiome triggers extensive changes in the transcriptional profile of Hermetia illucens during larval ontology	Auger, L; Bouslama, S; Deschamps, MH; Vandenberg, G; Derome, N	10.1038/s41598-023-29658-x	SCIENTIFIC REPORTS	2023	Hermetia illucens	microbiome
47	Abundance and Diversity of Ophiostomatoid Fungi Associated With the Great Spruce Bark Beetle (Dendroctonus micans) in the Northeastern Qinghai-Tibet Plateau	Wang, Z; Zhou, QZ; Zheng, GH; Fang, JX; Han, FZ; Zhang, XY; Lu, Q	10.3389/fmicb.2021.721395	FRONTIERS IN MICROBIOLOGY	2021	Dendroctonus micans	Endoconidiophora
48	Abundance and Localization of Symbiotic Bacterial Communities in the Fly Parasitoid Spalangia cameroni	Shalom, SR; Weiss, B; Lalzar, M; Kaltenpoth, M; Chiel, E	10.1128/aem.02549-21	APPLIED AND ENVIRONMENTAL MICROBIOLOGY	2022	Spalangia cameroni	Arsenophonus
49	Actinobacteria as essential symbionts in firebugs and cotton stainers (Hemiptera, Pyrrhocoridae)	Salem, H; Kreutzer, E; Sudakaran, S; Kaltenpoth, M	10.1111/1462-2920.12001	ENVIRONMENTAL MICROBIOLOGY	2013	Dysdercus fasciatus	Coriobacterium glomerans
50	Activation of Wheat Defense Response by Buchnera aphidicola-Derived Small Chaperone Protein GroES in Wheat Aphid Saliva	Li, Q; Fu, Y; Liu, XB; Sun, JX; Hou, ML; Zhang, Y; Chen, JL	10.1021/acs.jafc.1c07046	Journal of Agricultural and Food Chemistry	2022	Sitobion miscanthi	Buchnera aphidicola
51	Adaptations for Symbiont-Mediated External Digestion in Sirex noctilio (Hymenoptera: Siricidae)	Thompson, BM; Bodart, J; McEwen, C; Gruner, DS	10.1603/AN13128	ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA	2014	Sirex noctilio	Amylostereum areolatum
52	Adult Alphitobius diaperinus Microbial Community during Broiler Production and in Spent Litter after Stockpiling	Crippen, TL; Singh, B; Anderson, RC; Sheffield, CL	10.3390/microorganisms10010175	MICROORGANISMS	2022	Alphitobius diaperinus	gut bacteria
53	Aedes fluviatilis cell lines as new tools to study metabolic and immune interactions in mosquito-Wolbachia symbiosis	Conceiçao, CC; da Silva, JN; Arcanjo, A; Nogueira, CL; de Abreu, LA; de Oliveira, PL; Gondim, KC; Moraes, B; de Carvalho, SS; da Silva, RM; Vaz, ID; Moreira, LA; Logullo, C	10.1038/s41598-021-98738-7	SCIENTIFIC REPORTS	2021	Aedes fluviatilis	Wolbachia pipientis
54	Altered Carbohydrates Allocation by Associated Bacteria-fungi Interactions in a Bark Beetle-microbe Symbiosis	Zhou, FY; Lou, QZ; Wang, B; Xu, LT; Cheng, CH; Lu, M; Sun, JH	10.1038/srep20135	SCIENTIFIC REPORTS	2016	Dendroctonus valens	Leptographium procerum
55	Altered Expression of Chemosensory and Odorant Binding Proteins in Response to Fungal Infection in the Red Imported Fire Ant, Solenopsis invicta	Wei, Zhang; Ortiz-Urquiza, Almudena; Keyhani, Nemat O.	10.3389/fphys.2021.596571	Frontiers in Physiology	2021	Solenopsis invicta	Beauveria bassiana
56	Alternative transcription start site selection in Mr-OPY2 controls lifestyle transitions in the fungus Metarhizium robertsii	Guo, N; Qian, Y; Zhang, QQ; Chen, XX; Zeng, GH; Zhang, X; Mi, WB; Xu, C; Leger, RJS; Fang, WG	10.1038/s41467-017-01756-1	NATURE COMMUNICATIONS	2017	Galleria mellonella	Metarhizium robertsii
57	Aminopeptidase secreted by Chromobacterium sp. Panama inhibits dengue virus infection by degrading the E protein	Saraiva, Raúl G.; Fang, Jingru; Kang, Seokyoung; Angleró-Rodríguez, Yesseinia I.; Dong, Yuemei; Dimopoulos, George	10.1371/journal.pntd.0006443	PLoS neglected tropical diseases	2018	Aedes aegypti	Chromobacterium sp.
58	Amplification of Trpeg: Adaptation of Buchnera Aphidicola to an Endosymbiotic Association with Aphids	LAI, CY; BAUMANN, L; BAUMANN, P	10.1073/pnas.91.9.3819	Proceedings of the National Academy of Sciences	1994	Acyrthosiphon pisum	Buchnera aphidicola
59	Amycolatopsis from Desert Specialist Fungus-Growing Ants Suppresses Contaminant Fungi Using the Antibiotic ECO-0501	Kim, Joyce H.; Scherer, Georgia; Lumpkin, Dellencia S.; Rao, Krithika; Puentes Flores, Carmen D.; Van Arnam, Ethan B.	10.1128/aem.01838-22	Applied and Environmental Microbiology	2023	Trachymyrmex	Amycolatopsis
60	An ancient but promiscuous host-symbiont association between Burkholderia gut symbionts and their heteropteran hosts.	Kikuchi, Y; Hosokawa, T; Fukatsu, T	10.1038/ismej.2010.150	The ISME Journal	2010	Riptortus pedestris	Burkholderia
61	An antibiotic produced by an insect-pathogenic bacterium suppresses host defenses through phenoloxidase inhibition	Eleftherianos, I; Boundy, S; Joyce, SA; Aslam, S; Marshall, JW; Cox, RJ; Simpson, TJ; Clarke, DJ; ffrench-Constant, RH; Reynolds, SE	10.1073/pnas.0610525104	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2007	Manduca sexta	Photorhabdus luminescens subsp. laumondii strain TTNone1
62	An antifungal polyketide associated with horizontally acquired genes supports symbiont-mediated defense in Lagria villosa beetles	Florez, LV; Scherlach, K; Miller, IJ; Rodrigues, A; Kwan, JC; Hertweck, C; Kaltenpoth, M	10.1038/s41467-018-04955-6	NATURE COMMUNICATIONS	2018	Lagria hirta	Burkholderia
63	An aphid facultative symbiont suppresses plant defence by manipulating aphid gene expression in salivary glands	Wang, QY; Yuan, EL; Ling, XY; Zhu-Salzman, K; Guo, HJ; Ge, F; Sun, YC	10.1111/pce.13836	PLANT CELL AND ENVIRONMENT	2020	Acyrthosiphon pisum	Serratia symbiotica
64	An Earliest Endosymbiont, Wolbachia massiliensis sp. nov., Strain PL13 from the Bed Bug (Cimex hemipterus), Type Strain of a New Supergroup T	Laidoudi, Y; Levasseur, A; Medkour, H; Maaloum, M; Ben Khedher, M; Sambou, M; Bassene, H; Davoust, B; Fenollar, F; Raoult, D; Mediannikov, O	10.3390/ijms21218064	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES	2020	Cimex hemipterus	Wolbachia massiliensis sp. Nov
65	An increased risk of parasitism mediated by the facultative symbiont Regiella insecticola	Luo, C; Gatti, JL; Monticelli, LS; Poirié, M; Desneux, N; Zhao, HY; Hu, ZQ	10.1007/s10340-019-01189-3	JOURNAL OF PEST SCIENCE	2020	Sitobion avenae	Regiella insecticola
66	An Indigenous Gut Bacterium, Enterococcus faecalis (Lactobacillales: Enterococcaceae), Increases Seed Consumption By Harpalus pensylvanicus (Coleoptera: Carabidae)	Schmid, RB; Lehman, RM; Brözel, VS; Lundgren, JG	10.1653/024.097.0232	FLORIDA ENTOMOLOGIST	2014	Harpalus pensylvanicus	Enterococcus faecalis
67	An insect symbiosis is influenced by bacterium-specific polymorphisms in outer-membrane protein A	Weiss, BL; Wu, YN; Schwank, JJ; Tolwinski, NS; Aksoy, S	10.1073/pnas.0805666105	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2008	Glossina morsitans	Sodalis glossinidius
68	An Intranuclear Sodalis-Like Symbiont and Spiroplasma Coinfect the Carrot Psyllid, Bactericera trigonica (Hemiptera, Psylloidea)	Ghosh, S; Sela, N; Kontsedalov, S; Lebedev, G; Haines, LR; Ghanim, M	10.3390/microorganisms8050692	MICROORGANISMS	2020	Bactericera trigonica	Sodalis
69	An odorant binding protein is involved in counteracting detection-avoidance and Toll-pathway innate immunity	Zhang, W; Xie, MS; Eleftherianos, I; Mohamed, A; Cao, YQ; Song, BA; Zang, LS; Jia, C; Bian, J; Keyhani, NO; Xia, YX	10.1016/j.jare.2022.08.013	JOURNAL OF ADVANCED RESEARCH	2023	Locusta migratoria	Metarhizium anisopliae
70	An Overview of Genes From Cyberlindnera americana, a Symbiont Yeast Isolated From the Gut of the Bark Beetle Dendroctonus rhizophagus (Curculionidae: Scolytinae), Involved in the Detoxification Process Using Genome and Transcriptome Data	Soto-Robles, LV; Torres-Banda, V; Rivera-Orduña, FN; Curiel-Quesada, E; Hidalgo-Lara, ME; Zúñiga, G	10.3389/fmicb.2019.02180	FRONTIERS IN MICROBIOLOGY	2019	Dendroctonus rhizophagus	Cyberlindnera americana ChDrAdgY46
71	Analysis of gut microbiota of ladybug beetle (Harmonia axyridis) after feeding on different artificial diets	Xie, BH; Chao, L; Wan, SJ; Si, HR; Yu, WD; Huang, Z; Wang, SG; Desneux, N; Tang, B; Sun, SS	10.1186/s12866-023-03155-7	BMC MICROBIOLOGY	2024	Harmonia axyridis	gut bacteria
72	Analysis of Intestinal Microbial Diversity of Four Species of Grasshoppers and Determination of Cellulose Digestibility	Bai, J; Ling, Y; Li, WJ; Wang, L; Xue, XB; Gao, YY; Li, FF; Li, XJ	10.3390/insects13050432	Insects	2022	Acrida cinerea	Brevibacterium
73	Ancient symbiosis confers desiccation resistance to stored grain pest beetles	Engl, T; Eberl, N; Gorse, C; Krüger, T; Schmidt, THP; Plarre, R; Adler, C; Kaltenpoth, M	10.1111/mec.14418	MOLECULAR ECOLOGY	2018	Lyctus brunneus	Candidatus Shikimatogenerans
74	Annotation of gut bacterial taxonomic and functional diversity in Spodoptera litura and Spilosoma obliqua	Bapatla, KG; Singh, A; Yeddula, S; Patil, RH	10.1002/jobm.201700462	JOURNAL OF BASIC MICROBIOLOGY	2018	Spilosoma obliqua	gut bacteria
75	Antagonistic Effects of Delia antiqua (Diptera: Anthomyiidae)-Associated Bacteria Against Four Phytopathogens	Liu, M; Zhao, XY; Li, XX; Wu, XQ; Zhou, HZ; Gao, YX; Zhang, XJ; Zhou, FY	10.1093/jee/toab002	JOURNAL OF ECONOMIC ENTOMOLOGY	2021	Delia antiqua	Acinetobacter guillouiae
76	Anterior foregut microbiota of the glassy-winged sharpshooter explored using deep 16S rRNA gene sequencing from individual insects	Rogers, EE; Backus, EA	10.1371/journal.pone.0106215	PLOS ONE	2014	Homalodisca vitripennis	Wolbachia ftsZ
77	Antibacterial metabolites from the beetle-associated fungus Penicillium chrysogenum	Li, TX; Su, HY; Yu, JC; Hao, H; Jia, XW; Shi, FC; Xu, CP	10.1590/0001-3765202320220178	Anais da Academia Brasileira de Ciências	2023	Aspongopus chinensis	Penicillium chrysogenum
78	Antibiotic-Producing Beneficial Bacteria in the Gut of the Burying Beetle Nicrophorus vespilloides	Heise, P; Liu, Y; Degenkolb, T; Vogel, H; Scháberle, TF; Vilcinskas, A	10.3389/fmicb.2019.01178	FRONTIERS IN MICROBIOLOGY	2019	Nicrophorus vespilloides	Serratia marcescens 2MH3-2
79	Antibiotic-producing symbionts dynamically transition between plant pathogenicity and insect-defensive mutualism	Flórez, LV; Scherlach, K; Gaube, P; Ross, C; Sitte, E; Hermes, C; Rodrigues, A; Hertweck, C; Kaltenpoth, M	10.1038/ncomms15172	NATURE COMMUNICATIONS	2017	Lagria villosa	Burkholderia gladioli  Lv-StA
80	Antibiotic-resistant bacteria in the guts of insects feeding on plants: prospects for discovering plant-derived antibiotics	Ignasiak, K; Maxwell, A	10.1186/s12866-017-1133-0	BMC Microbiology	2017	Diapherodes gigantea	gut bacteria
81	Antibiotics ingestion altered the composition of gut microbes and affected the development and reproduction of the fall armyworm	Fu, Y; Zhang, LY; Zhao, QY; Fu, DY; Yu, H; Xu, J; Yang, S	10.1007/s10340-024-01759-0	JOURNAL OF PEST SCIENCE	2024	Spodoptera frugiperda	Enterococcus spp.
82	Antifungal Streptomyces spp., Plausible Partners for Brood-Caring of the Dung Beetle Copris tripartitus	Kim, SH; Park, G; Park, JS; Kwon, HC	10.3390/microorganisms9091980	MICROORGANISMS	2021	Copris tripartitus	Streptomyces sp. AT67
83	Antiparasitic Ovalicin Derivatives from Pseudallescheria boydii, a Mutualistic Fungus of French Guiana Termites	Sorres, J; Hebra, T; Elie, N; Leman-Loubiere, C; Grayfer, T; Grellier, P; Touboul, D; Stien, D; Eparvier, V	10.3390/molecules27041182	MOLECULES	2022	Nasutitermes corniger	Pseudallescheria boydii
84	Anti-plant Defense Response Strategies Mediated by the Secondary Symbiont Hamiltonella defensa in the Wheat Aphid Sitobion miscanthi	Li, Q; Fan, J; Sun, JX; Zhang, Y; Hou, ML; Chen, JL	10.3389/fmicb.2019.02419	FRONTIERS IN MICROBIOLOGY	2019	Sitobion miscanthi	Candidatus Hamiltonella defensa
85	Aphid endosymbiont facilitates virus transmission by modulating the volatile profile of host plants	Shi, XB; Yan, S; Zhang, C; Zheng, LM; Zhang, ZH; Sun, SE; Gao, Y; Tan, XQ; Zhang, DY; Zhou, XG	10.1186/s12870-021-02838-5	BMC PLANT BIOLOGY	2021	Myzus persicae	Buchnera aphidicola
